pair_id,index_symbol,carrier,leg,horizon,index_row,timestamp,direction
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,event,240,352858,2021-01-15T13:18:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,control,0,360298,2021-03-08T13:18:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,control,1,360299,2021-03-08T13:19:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,control,5,360303,2021-03-08T13:23:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,control,15,360313,2021-03-08T13:33:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,control,30,360328,2021-03-08T13:48:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,control,60,360358,2021-03-08T14:18:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,control,120,360418,2021-03-09T09:48:00+08:00,-1
000852.SH:R1_A:352618:360298,000852.SH,512100.SH,control,240,360538,2021-03-09T13:18:00+08:00,-1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,event,0,353342,2021-01-19T13:22:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,event,1,353343,2021-01-19T13:23:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,event,5,353347,2021-01-19T13:27:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,event,15,353357,2021-01-19T13:37:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,event,30,353372,2021-01-19T13:52:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,event,60,353402,2021-01-19T14:22:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,event,120,353462,2021-01-20T09:52:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,event,240,353582,2021-01-20T13:22:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,control,0,353340,2021-01-19T13:20:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,control,1,353341,2021-01-19T13:21:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,control,5,353345,2021-01-19T13:25:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,control,15,353355,2021-01-19T13:35:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,control,30,353370,2021-01-19T13:50:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,control,60,353400,2021-01-19T14:20:00+08:00,1
000852.SH:R1_A:353342:353340,000852.SH,512100.SH,control,120,353460,2021-01-20T09:50:00+08:00,1
