contract_code,option_type,strike,expiry,timestamp,bid1,bid1_size,ask1,ask1_size,last_price,volume,open_interest,trading_status
MO2301-C-7100,C,7100.0,2023-01-20,2022-12-06 09:32:49.9,53.6,6,55.8,6,56.4,0,345,TRADING
MO2301-P-5700,P,5700.0,2023-01-20,2022-12-06 09:32:49.9,7.0,18,7.6,12,7.6,1,146,TRADING
MO2301-P-5800,P,5800.0,2023-01-20,2022-12-06 09:32:49.9,9.8,6,10.4,18,11.6,6,282,TRADING
MO2301-P-5900,P,5900.0,2023-01-20,2022-12-06 09:32:49.9,13.2,6,14.4,12,14.6,0,248,TRADING
MO2301-P-6100,P,6100.0,2023-01-20,2022-12-06 09:32:49.9,27.8,6,29.6,6,29.2,0,590,TRADING
MO2301-P-6200,P,6200.0,2023-01-20,2022-12-06 09:32:49.9,39.0,6,41.2,10,39.4,3,433,TRADING
MO2301-P-6300,P,6300.0,2023-01-20,2022-12-06 09:32:49.9,56.0,6,58.4,6,57.6,0,398,TRADING
MO2301-P-6400,P,6400.0,2023-01-20,2022-12-06 09:32:49.9,77.8,6,80.2,6,76.0,5,839,TRADING
MO2301-P-6500,P,6500.0,2023-01-20,2022-12-06 09:32:49.9,108.6,15,112.0,6,110.0,0,540,TRADING
MO2301-P-6600,P,6600.0,2023-01-20,2022-12-06 09:32:49.9,147.6,6,151.0,6,147.8,0,311,TRADING
MO2301-P-6700,P,6700.0,2023-01-20,2022-12-06 09:32:49.9,194.6,15,198.6,6,196.8,0,150,TRADING
MO2301-P-6800,P,6800.0,2023-01-20,2022-12-06 09:32:49.9,250.6,6,255.6,6,254.2,4,91,TRADING
MO2301-P-6900,P,6900.0,2023-01-20,2022-12-06 09:32:49.9,312.6,6,320.8,6,319.8,0,48,TRADING
MO2301-P-7000,P,7000.0,2023-01-20,2022-12-06 09:32:49.9,383.4,6,393.2,6,389.6,0,39,TRADING
MO2301-P-7100,P,7100.0,2023-01-20,2022-12-06 09:32:49.9,462.2,12,472.8,7,478.2,0,15,TRADING
MO2301-C-7200,C,7200.0,2023-01-20,2022-12-06 09:32:49.9,39.0,6,41.0,16,41.6,1,255,TRADING
MO2301-P-7200,P,7200.0,2023-01-20,2022-12-06 09:32:49.9,545.6,12,556.2,6,562.2,0,44,TRADING
MO2212-C-7300,C,7300.0,2022-12-16,2022-12-06 09:32:49.9,3.0,28,3.4,55,3.2,3,783,TRADING
MO2212-P-7300,P,7300.0,2022-12-16,2022-12-06 09:32:49.9,592.0,3,599.8,6,586.4,0,24,TRADING
MO2301-C-7300,C,7300.0,2023-01-20,2022-12-06 09:32:49.9,26.8,19,28.8,18,28.0,0,140,TRADING
MO2301-P-7300,P,7300.0,2023-01-20,2022-12-06 09:32:49.9,633.6,18,644.8,6,642.2,0,10,TRADING
MO2309-C-7400,C,7400.0,2023-09-15,2022-12-06 09:32:49.9,175.2,1,180.8,1,180.8,0,99,TRADING
MO2301-P-7400,P,7400.0,2023-01-20,2022-12-06 09:32:49.9,725.8,6,735.2,2,742.2,0,29,TRADING
MO2302-C-5900,C,5900.0,2023-02-17,2022-12-06 09:32:49.9,789.2,6,802.4,6,776.6,0,4,TRADING
MO2302-C-6100,C,6100.0,2023-02-17,2022-12-06 09:32:49.9,615.4,6,631.0,6,500.0,0,2,TRADING
MO2302-C-6200,C,6200.0,2023-02-17,2022-12-06 09:32:49.9,537.2,6,551.0,6,479.6,0,4,TRADING
MO2302-C-6300,C,6300.0,2023-02-17,2022-12-06 09:32:49.9,461.8,1,476.2,6,471.0,0,7,TRADING
MO2302-C-6400,C,6400.0,2023-02-17,2022-12-06 09:32:49.9,392.8,1,404.4,7,327.8,0,30,TRADING
MO2302-C-6500,C,6500.0,2023-02-17,2022-12-06 09:32:49.9,330.6,7,342.0,12,334.4,0,116,TRADING
MO2302-C-6600,C,6600.0,2023-02-17,2022-12-06 09:32:49.9,273.6,1,285.2,7,268.2,0,102,TRADING
MO2302-C-6700,C,6700.0,2023-02-17,2022-12-06 09:32:49.9,223.8,2,234.0,12,219.2,0,118,TRADING
MO2302-C-6800,C,6800.0,2023-02-17,2022-12-06 09:32:49.9,181.8,6,189.8,6,177.0,0,40,TRADING
MO2302-C-6900,C,6900.0,2023-02-17,2022-12-06 09:32:49.9,144.0,1,153.4,6,151.2,0,12,TRADING
