entry_idx,info_idx,info_day,info_year,parent_direction,horizon,target_bp,parent_prediction_bp,enhanced_prediction_bp,parent_residual_bp,prediction_adjustment_bp,alignment_bp2,adjustment_square_bp2,loss_gain_bp2
89190,89189,2016-07-13,2016,1,120,-4.23938544447999,35.8766450213393,42.8234506511534,-40.1160304658193,6.9468056298141,-557.356532571495,48.2581084584169,-605.614641029912
89413,89412,2016-07-14,2016,1,120,-47.0869717544686,29.3715340385166,36.3219159846431,-76.4585057929852,6.9503819461265,-1062.83163658275,48.3078091970412,-1111.13944577979
89560,89559,2016-07-15,2016,1,120,-7.51976719868708,35.0260995640026,42.5678722358398,-42.5458667626897,7.5417726718372,-641.742510500959,56.8783350336704,-698.62084553463
89617,89616,2016-07-15,2016,1,120,-80.276070551365,16.1355094889861,23.8345515222724,-96.4115800403511,7.6990420332863,-1484.55361445242,59.2752482303093,-1543.82886268273
89887,89886,2016-07-18,2016,-1,120,8.77428296783167,-12.2303548427472,-4.72341492138247,21.0046378105789,7.50693992136473,315.361108228083,56.3541469829795,259.006961245104
90711,90710,2016-07-22,2016,1,120,-48.6263769798156,23.2529596104629,30.7582703797042,-71.8793365902785,7.5053107692413,-1078.95351799388,56.3296897428895,-1135.28320773676
90797,90796,2016-07-22,2016,1,120,-42.2258497575956,12.3875915480409,20.1010540854286,-54.6134413056365,7.7134625373877,-842.517467097698,59.4975043156835,-902.014971413382
91025,91024,2016-07-25,2016,-1,120,-36.6690165273509,-19.5348197392931,-12.1259424150187,-17.1341967880578,7.4088773242744,-253.890324105393,54.8914632061474,-308.781787311541
91514,91513,2016-07-27,2016,-1,120,35.5875190647426,-35.4517482588979,-29.1990262793689,71.0392673236405,6.252721979529,888.377576408326,39.096532153285,849.281044255041
91765,91764,2016-07-28,2016,-1,120,-45.0822424027542,-23.91276442893,-17.1329116883175,-21.1694779738242,6.7798527406125,-287.051886516336,45.9664031843908,-333.018289700727
92122,92121,2016-08-01,2016,-1,120,-48.9601548574581,-21.4451371782051,-14.9524401772436,-27.515017679253,6.4926970009615,-357.293345534977,42.1551143462945,-399.448459881272
92158,92157,2016-08-01,2016,-1,120,-86.0547299419201,-9.98876708367045,-2.91998378469528,-76.0659628582496,7.06878329897517,-1075.38761574572,49.9676973278703,-1125.35531307359
93256,93255,2016-08-05,2016,1,120,-15.5360706521868,-0.174709017007554,6.82379065510749,-15.3613616351792,6.99849967211504,-215.012968734085,48.9789976605944,-263.991966394679
93745,93744,2016-08-09,2016,1,120,27.8112382737916,23.9606777133705,32.2551920488286,3.8505605604211,8.2945143354581,63.8770595359247,68.7989680611199,-4.92190852519515
93818,93817,2016-08-10,2016,1,120,-37.7677991652536,1.69410202284605,9.92668806292387,-39.4619011880997,8.23258604007782,-649.746993672159,67.7754729072842,-717.522466579443
93976,93975,2016-08-10,2016,1,120,-91.5932492340443,21.8114742172239,30.2141047938429,-113.404723451268,8.402630576619,-1905.7959936093,70.6042006071325,-1976.40019421643
95449,95448,2016-08-19,2016,1,120,-20.0646152430473,-0.0350464279241907,7.19241060844176,-20.0295688151231,7.22745703636595,-289.525696136475,52.2361352125157,-341.761831348991
95826,95825,2016-08-22,2016,1,120,-123.877040900121,12.9237257740517,20.6179007053001,-136.800766674173,7.6941749312484,-2105.13805903996,59.2003278726513,-2164.33838691261
96091,96090,2016-08-23,2016,-1,120,-33.4902039166152,-32.0907174930274,-24.4611355818982,-1.3994864235878,7.6295819111292,-21.3549926045528,58.2105201386298,-79.5655127431826
96237,96236,2016-08-24,2016,-1,120,-49.1606537981659,-15.225498608564,-7.73890340281951,-33.9351551896019,7.48659520574449,-508.117540297338,56.0491077746764,-564.166648072014
96470,96469,2016-08-25,2016,-1,120,1.28291625191568,-10.1706508804359,-3.06510514562669,11.4535671323516,7.10554573480921,162.767690171263,50.4887801894654,112.278909981798
96919,96918,2016-08-29,2016,1,120,-6.84008470833275,15.0490222613497,22.3397120244874,-21.8891069696825,7.2906897631377,-319.17337621618,53.1541572223209,-372.327533438501
97432,97431,2016-08-31,2016,1,120,8.44987881692516,21.35791510418,28.9195545048467,-12.9080362872548,7.5616394006667,-195.211831549883,57.178390425715,-252.390221975598
97551,97550,2016-08-31,2016,-1,120,-36.8696655054079,0.401028917068898,7.92982039002365,-37.2706944224768,7.52879147295475,-561.206572718091,56.6827010432362,-617.889273761327
97866,97865,2016-09-02,2016,-1,120,31.6321986090951,-26.9542260809389,-19.9271034483182,58.586424690034,7.0271226326207,823.387981807332,49.3804524938901,774.007529313442
98196,98195,2016-09-05,2016,-1,120,20.8435423765507,-10.4485532414979,-2.60531627838853,31.2920956180486,7.84323696310937,490.862642009263,61.5163660594851,429.346275949778
98820,98819,2016-09-08,2016,1,120,-1.84968039764755,14.1541923204367,21.0511568283144,-16.0038727180842,6.8969645078777,-220.756284250439,47.5681194229247,-268.324403673363
99343,99342,2016-09-12,2016,-1,120,87.1593970593465,-8.36219714856238,-1.37703860516731,95.5215942079089,6.98515854339507,1334.46695972018,48.7924398763651,1285.67451984382
99452,99451,2016-09-12,2016,-1,120,9.80059775546605,-22.6108666692229,-15.4408844638722,32.411464424689,7.1699822053507,464.779246348754,51.4086448250457,413.370601523708
99497,99496,2016-09-12,2016,-1,120,-23.7269447371546,-0.723350895566322,6.73677669498814,-23.0035938415883,7.46012759055446,-343.219490199083,55.6535036673519,-398.872993866435
99531,99530,2016-09-13,2016,-1,120,13.2155018647639,-38.2239515489774,-31.8687106994946,51.4394534137413,6.3552408494828,653.820231220153,40.3890862549349,613.431144965218
99877,99876,2016-09-14,2016,-1,120,12.4805606865819,5.82813484631341,13.4626829811811,6.65242584026849,7.63454813486769,101.576530582335,58.2863252236117,43.2902053587231
100362,100361,2016-09-20,2016,1,120,-12.034177523047,10.9557016904437,19.0430420304968,-22.9898792134907,8.0873403400531,-371.853955152423,65.4050737758502,-437.259028928273
101280,101279,2016-09-26,2016,1,120,-40.6934008023485,4.2096530155024,12.1222206549376,-44.9030538178509,7.9125676394352,-710.596901101888,62.6087266486371,-773.205627750526
101780,101779,2016-09-28,2016,-1,120,-18.4605487351486,-3.9410754099677,3.96882788575731,-14.5194733251809,7.90990329572501,-229.69525981408,62.5665701477214,-292.261829961801
103518,103517,2016-10-14,2016,1,120,51.004549754492,12.1337447144606,19.883047881682,38.8708050400314,7.7493031672214,602.443305218322,60.0516995775076,542.391605640814
104322,104321,2016-10-20,2016,1,120,31.9418192211374,18.4921631332099,25.2953114052857,13.4496560879275,6.8031482720758,183.000009149196,46.282826411848,136.717182737348
104821,104820,2016-10-24,2016,-1,120,-96.0786028354943,-17.4473636663754,-10.1460288934231,-78.6312391691189,7.3013347729523,-1148.22600157163,53.3094894667224,-1201.53549103836
105419,105418,2016-10-26,2016,1,120,-30.7989391476504,13.1322900882193,20.6172129312897,-43.9312292358697,7.4849228430704,-657.643722463447,56.0240699667171,-713.667792430164
106082,106081,2016-10-31,2016,1,120,36.7603996792476,28.6032293113262,36.9953535501565,8.1571703679214,8.3921242388303,136.911974329803,70.4277492399631,66.4842250898399
106572,106571,2016-11-02,2016,-1,120,-8.43840466218992,1.46840607607528,9.72585001670644,-9.9068107382652,8.25744394063116,-163.609868603335,68.1853804326663,-231.795249036002
106968,106967,2016-11-04,2016,1,120,-25.9286960857641,19.2889057266754,26.2558673845538,-45.2176018124395,6.9669616578784,-630.058596176958,48.5385547423477,-678.597150919305
107902,107901,2016-11-09,2016,-1,120,-64.8639382328775,-5.52563532269804,2.17849083960575,-59.3383029101795,7.70412616230379,-914.299543754042,59.3535599246937,-973.653103678735
108619,108618,2016-11-14,2016,1,120,10.6920002804456,19.0909357595135,26.1504828662825,-8.3989354790679,7.059547106769,-118.585361322387,49.8372053526905,-168.422566675077
108827,108826,2016-11-15,2016,1,120,67.849430568907,18.4651651646369,26.0640319762385,49.3842654042701,7.5988668116016,750.528910791666,57.7427768204603,692.786133971206
109272,109271,2016-11-17,2016,1,120,22.1187757524977,8.65316027082057,16.4758329827061,13.4656154816771,7.82267271188553,210.674205554518,61.1942083572785,149.47999719724
110234,110233,2016-11-23,2016,1,120,-66.9025897427566,7.33464726964546,15.2466697998877,-74.2372370124021,7.91202253024224,-1174.73338365012,62.6001005190608,-1237.33348416918
110823,110822,2016-11-28,2016,-1,120,-33.4846995200366,-31.6641629579146,-23.9978599554049,-1.820536562122,7.6663030025097,-27.9135698247492,58.7722017262892,-86.6857715510384
112103,112102,2016-12-05,2016,-1,120,18.5493379669077,-12.731213010999,-5.05777969738539,31.2805509779067,7.67343331361361,480.058443884116,58.8815788184751,421.176865065641
113489,113488,2016-12-13,2016,-1,120,-74.4982174538689,-30.3079529423062,-23.2128418948111,-44.1902645115627,7.0951110474951,-627.069667855439,50.340600776287,-677.410268631726
113768,113767,2016-12-14,2016,1,120,45.0608034291111,23.2420826077675,30.383665173552,21.8187208213436,7.1415825657845,311.640392450853,51.0022015439171,260.638190906936
113924,113923,2016-12-15,2016,1,120,133.07534025419,13.6976822483123,20.7002127596514,119.377658005878,7.0025305113391,1671.89138511673,49.035433562235,1622.85595155449
114134,114133,2016-12-15,2016,1,120,91.0844457067128,39.3101150152034,46.6528421471834,51.7743306915094,7.34272713198,760.329565417302,53.9156417347152,706.413923682586
