horizon,group,field,absolute_error
1,YEAR_2018_SHORT,enhanced_mean_error_bp,2.22044604925031e-16
1,YEAR_2018_SHORT,enhanced_mean_prediction_bp,3.60822483003176e-16
1,YEAR_2018_SHORT,enhanced_mse_bp2,2.48689957516035e-14
1,YEAR_2018_SHORT,enhanced_rmse_bp,1.77635683940025e-15
1,YEAR_2018_SHORT,mean_loss_improvement_bp2,1.45716771982052e-15
1,YEAR_2018_SHORT,median_loss_improvement_bp2,2.1163626406917e-16
1,YEAR_2018_SHORT,parent_mae_bp,4.44089209850063e-15
1,YEAR_2018_SHORT,parent_mean_error_bp,3.33066907387547e-16
1,YEAR_2018_SHORT,parent_mean_prediction_bp,1.38777878078145e-17
1,YEAR_2018_SHORT,parent_mse_bp2,1.4210854715202e-14
1,YEAR_2018_SHORT,parent_rmse_bp,1.77635683940025e-15
1,YEAR_2018_SHORT,past_mean_forecast_mse_bp2,3.5527136788005e-14
1,YEAR_2018_SHORT,positive_loss_improvement_fraction,0
1,YEAR_2018_SHORT,relative_mse_reduction,6.9931040125315e-17
1,YEAR_2018_SHORT,target_mean_bp,4.44089209850063e-16
1,YEAR_2018_SHORT,target_median_bp,4.44089209850063e-16
1,YEAR_2018_SHORT,zero_forecast_mse_bp2,1.06581410364015e-14
1,YEAR_2019_LONG,enhanced_mae_bp,1.77635683940025e-15
1,YEAR_2019_LONG,enhanced_mean_error_bp,0
1,YEAR_2019_LONG,enhanced_mean_prediction_bp,2.77555756156289e-16
1,YEAR_2019_LONG,enhanced_mse_bp2,4.2632564145606e-14
1,YEAR_2019_LONG,enhanced_rmse_bp,8.88178419700125e-16
1,YEAR_2019_LONG,mean_loss_improvement_bp2,9.43689570931383e-16
1,YEAR_2019_LONG,median_loss_improvement_bp2,8.32667268468867e-16
1,YEAR_2019_LONG,parent_mae_bp,1.77635683940025e-15
1,YEAR_2019_LONG,parent_mean_error_bp,2.66453525910038e-15
1,YEAR_2019_LONG,parent_mean_prediction_bp,5.74627151417317e-17
1,YEAR_2019_LONG,parent_mse_bp2,3.19744231092045e-14
1,YEAR_2019_LONG,parent_rmse_bp,0
1,YEAR_2019_LONG,past_mean_forecast_mse_bp2,7.105427357601e-14
1,YEAR_2019_LONG,positive_loss_improvement_fraction,3.33066907387547e-16
1,YEAR_2019_LONG,relative_mse_reduction,1.61329283265843e-16
1,YEAR_2019_LONG,target_mean_bp,2.22044604925031e-15
1,YEAR_2019_LONG,target_median_bp,0
1,YEAR_2019_LONG,zero_forecast_mse_bp2,1.06581410364015e-14
1,YEAR_2019_SHORT,enhanced_mae_bp,8.88178419700125e-16
1,YEAR_2019_SHORT,enhanced_mean_error_bp,2.77555756156289e-16
1,YEAR_2019_SHORT,enhanced_mean_prediction_bp,1.66533453693773e-16
1,YEAR_2019_SHORT,enhanced_mse_bp2,2.1316282072803e-14
1,YEAR_2019_SHORT,enhanced_rmse_bp,0
1,YEAR_2019_SHORT,mean_loss_improvement_bp2,9.99200722162641e-16
1,YEAR_2019_SHORT,median_loss_improvement_bp2,1.4432899320127e-15
1,YEAR_2019_SHORT,parent_mae_bp,3.5527136788005e-15
1,YEAR_2019_SHORT,parent_mean_error_bp,2.22044604925031e-16
1,YEAR_2019_SHORT,parent_mean_prediction_bp,2.77555756156289e-17
1,YEAR_2019_SHORT,parent_mse_bp2,4.2632564145606e-14
1,YEAR_2019_SHORT,parent_rmse_bp,4.44089209850063e-15
1,YEAR_2019_SHORT,past_mean_forecast_mse_bp2,2.8421709430404e-14
1,YEAR_2019_SHORT,positive_loss_improvement_fraction,3.33066907387547e-16
1,YEAR_2019_SHORT,relative_mse_reduction,1.30104260698261e-16
1,YEAR_2019_SHORT,target_mean_bp,1.11022302462516e-16
1,YEAR_2019_SHORT,target_median_bp,0
1,YEAR_2019_SHORT,zero_forecast_mse_bp2,7.105427357601e-14
1,YEAR_2020_LONG,enhanced_mae_bp,4.44089209850063e-15
1,YEAR_2020_LONG,enhanced_mean_error_bp,2.4980018054066e-16
1,YEAR_2020_LONG,enhanced_mean_prediction_bp,5.55111512312578e-17
1,YEAR_2020_LONG,enhanced_mse_bp2,4.9737991503207e-14
1,YEAR_2020_LONG,enhanced_rmse_bp,8.88178419700125e-16
1,YEAR_2020_LONG,mean_loss_improvement_bp2,1.66533453693773e-16
1,YEAR_2020_LONG,median_loss_improvement_bp2,1.11022302462516e-16
1,YEAR_2020_LONG,parent_mae_bp,2.66453525910038e-15
1,YEAR_2020_LONG,parent_mean_error_bp,8.32667268468867e-16
1,YEAR_2020_LONG,parent_mean_prediction_bp,2.68882138776405e-17
1,YEAR_2020_LONG,parent_mse_bp2,4.9737991503207e-14
1,YEAR_2020_LONG,parent_rmse_bp,1.77635683940025e-15
1,YEAR_2020_LONG,past_mean_forecast_mse_bp2,3.5527136788005e-14
1,YEAR_2020_LONG,positive_loss_improvement_fraction,4.44089209850063e-16
1,YEAR_2020_LONG,relative_mse_reduction,1.82145964977565e-16
1,YEAR_2020_LONG,target_mean_bp,1.66533453693773e-16
1,YEAR_2020_LONG,target_median_bp,0
1,YEAR_2020_LONG,zero_forecast_mse_bp2,6.3948846218409e-14
1,YEAR_2020_SHORT,enhanced_mae_bp,7.99360577730113e-15
1,YEAR_2020_SHORT,enhanced_mean_error_bp,3.5527136788005e-15
1,YEAR_2020_SHORT,enhanced_mean_prediction_bp,5.55111512312578e-17
1,YEAR_2020_SHORT,enhanced_mse_bp2,2.8421709430404e-14
1,YEAR_2020_SHORT,enhanced_rmse_bp,1.06581410364015e-14
1,YEAR_2020_SHORT,mean_loss_improvement_bp2,2.44249065417534e-15
1,YEAR_2020_SHORT,median_loss_improvement_bp2,5.99520433297585e-15
1,YEAR_2020_SHORT,parent_mae_bp,2.66453525910038e-15
1,YEAR_2020_SHORT,parent_mean_error_bp,2.66453525910038e-15
1,YEAR_2020_SHORT,parent_mean_prediction_bp,2.77555756156289e-17
