carrier,study,horizon,group,old_n,new_n,gate_pass_after_known_patch,membership_changed,etf_event_old_mean_bp,etf_event_new_mean_bp,etf_event_mean_change_bp,etf_control_old_mean_bp,etf_control_new_mean_bp,etf_control_mean_change_bp,etf_incremental_old_mean_bp,etf_incremental_new_mean_bp,etf_incremental_mean_change_bp
512100.SH,published_endpoint,60,ALL,1261,1261,True,False,6.90076591332217,6.90076591332217,0,-0.0755810092241967,-0.0755810092241967,0,6.97634692254636,6.97634692254636,0
512100.SH,published_endpoint,60,2021,163,163,True,False,4.50868411370677,4.50868411370677,0,8.13509585256308,8.13509585256308,0,-3.62641173885632,-3.62641173885632,0
512100.SH,published_endpoint,60,2022,300,300,True,False,8.73152016274731,8.73152016274731,0,4.13657942041742,4.13657942041742,0,4.59494074232988,4.59494074232988,0
512100.SH,published_endpoint,60,2023,177,177,True,False,1.7401754929905,1.7401754929905,0,5.32870399508414,5.32870399508414,0,-3.58852850209359,-3.58852850209359,0
512100.SH,published_endpoint,60,2024,373,373,True,False,8.99635022960029,8.99635022960029,0,-6.1184796418804,-6.1184796418804,0,15.1148298714807,15.1148298714807,0
512100.SH,published_endpoint,60,2025,248,248,True,False,6.78969580419612,6.78969580419612,0,-5.33584598158557,-5.33584598158557,0,12.1255417857817,12.1255417857817,0
512100.SH,published_endpoint,60,LONG,607,607,True,False,9.78115163002692,9.78115163002692,0,-0.825399041547114,-0.825399041547114,0,10.606550671574,10.606550671574,0
512100.SH,published_endpoint,60,SHORT,654,654,True,False,4.22738039338367,4.22738039338367,0,0.620351017717717,0.620351017717717,0,3.60702937566594,3.60702937566594,0
512100.SH,published_endpoint,120,ALL,1265,1265,True,False,7.23558583238784,7.23558583238784,0,0.209408979312002,0.209408979312002,0,7.02617685307586,7.02617685307586,0
512100.SH,published_endpoint,120,2021,163,163,True,False,7.70100115591677,7.70100115591677,0,12.5509650738747,12.5509650738747,0,-4.84996391795783,-4.84996391795783,0
512100.SH,published_endpoint,120,2022,303,303,True,False,2.35114800794001,2.35114800794001,0,6.61692558326971,6.61692558326971,0,-4.26577757532973,-4.26577757532973,0
512100.SH,published_endpoint,120,2023,178,178,True,False,-3.06336153871084,-3.06336153871084,0,7.6601234966093,7.6601234966093,0,-10.7234850353201,-10.7234850353201,0
512100.SH,published_endpoint,120,2024,374,374,True,False,17.0435348367046,17.0435348367046,0,-5.02912949743871,-5.02912949743871,0,22.0726643341433,22.0726643341433,0
512100.SH,published_endpoint,120,2025,247,247,True,False,5.49130108547931,5.49130108547931,0,-13.2325544546437,-13.2325544546437,0,18.723855540123,18.723855540123,0
512100.SH,published_endpoint,120,LONG,613,613,True,False,12.6991673755266,12.6991673755266,0,0.00749329636958507,0.00749329636958507,0,12.691674079157,12.691674079157,0
512100.SH,published_endpoint,120,SHORT,652,652,True,False,2.09881361468227,2.09881361468227,0,0.399246883673508,0.399246883673508,0,1.6995667310088,1.6995667310088,0
512100.SH,published_endpoint,240,ALL,1261,1261,True,False,5.37121958707001,5.37121958707001,0,1.23985790519481,1.23985790519481,0,4.13136168187525,4.13136168187525,0
512100.SH,published_endpoint,240,2021,163,163,True,False,-11.8731985377343,-11.8731985377343,0,9.77334753310768,9.77334753310768,0,-21.6465460708419,-21.6465460708419,0
