pair_id,event_day,side,old_eligible,old_reason,new_eligible,new_reason
000852.SH:R1_A:382496:382495,2021-07-22,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:382747:382746,2021-07-23,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:382864:379743,2021-07-23,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:383005:396923,2021-07-26,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:383039:396947,2021-07-26,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:383084:358361,2021-07-26,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:383162:404757,2021-07-26,SHORT,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:383232:381799,2021-07-27,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:383431:404294,2021-07-27,SHORT,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:383471:360444,2021-07-28,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:384410:384409,2021-08-03,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:384438:400515,2021-08-03,LONG,False,event_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute
000852.SH:R1_A:384582:384365,2021-08-03,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:384712:361662,2021-08-04,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:384892:384189,2021-08-05,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:384992:407559,2021-08-05,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:385086:352911,2021-08-05,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:385404:385403,2021-08-09,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:385728:385727,2021-08-10,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:385913:366959,2021-08-11,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:386050:394695,2021-08-11,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:386174:379690,2021-08-12,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:386340:399302,2021-08-13,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:386502:379806,2021-08-13,LONG,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:386661:354268,2021-08-16,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:386825:405049,2021-08-17,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:386902:360748,2021-08-17,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:387000:358440,2021-08-17,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:387020:358450,2021-08-17,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:387049:358482,2021-08-18,SHORT,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute,False,event_missing_or_zero_volume_minute;control_missing_or_zero_volume_minute
000852.SH:R1_A:387529:387528,2021-08-20,LONG,True,complete_common_path,True,complete_common_path
000852.SH:R1_A:388015:407209,2021-08-24,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
000852.SH:R1_A:388123:353323,2021-08-24,LONG,False,control_missing_or_zero_volume_minute,False,control_missing_or_zero_volume_minute
