pair_id,index_symbol,event_day,control_day,side,horizon,event_entry_timestamp,event_entry_status,event_exit_timestamp,event_exit_status,event_action_crossing,control_entry_timestamp,control_entry_status,control_exit_timestamp,control_exit_status,control_action_crossing,old_eligible,old_reason,new_eligible,new_reason,membership_changed,reason_changed,new_action_crossing,unit_bridge_crossing,on_new_halt_endpoint,carrier
000852.SH:R1_A:351781:392810,000852.SH,2021-01-11,2021-09-23,LONG,15,2021-01-11T09:51:00+08:00,valid,2021-01-11T10:06:00+08:00,valid,False,2021-09-23T09:40:00+08:00,valid,2021-09-23T09:55:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351781:392810,000852.SH,2021-01-11,2021-09-23,LONG,30,2021-01-11T09:51:00+08:00,valid,2021-01-11T10:21:00+08:00,valid,False,2021-09-23T09:40:00+08:00,valid,2021-09-23T10:10:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351781:392810,000852.SH,2021-01-11,2021-09-23,LONG,60,2021-01-11T09:51:00+08:00,valid,2021-01-11T10:51:00+08:00,recorded_zero_volume,False,2021-09-23T09:40:00+08:00,valid,2021-09-23T10:40:00+08:00,valid,False,False,event_exit:recorded_zero_volume,False,event_exit:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:351781:392810,000852.SH,2021-01-11,2021-09-23,LONG,120,2021-01-11T09:51:00+08:00,valid,2021-01-11T13:21:00+08:00,valid,False,2021-09-23T09:40:00+08:00,valid,2021-09-23T13:10:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:351781:392810,000852.SH,2021-01-11,2021-09-23,LONG,240,2021-01-11T09:51:00+08:00,valid,2021-01-12T09:51:00+08:00,valid,False,2021-09-23T09:40:00+08:00,valid,2021-09-24T09:40:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352316:352315,000852.SH,2021-01-13,2021-01-13,LONG,1,2021-01-13T10:46:00+08:00,valid,2021-01-13T10:47:00+08:00,valid,False,2021-01-13T10:45:00+08:00,recorded_zero_volume,2021-01-13T10:46:00+08:00,valid,False,False,control_entry:recorded_zero_volume,False,control_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:352316:352315,000852.SH,2021-01-13,2021-01-13,LONG,5,2021-01-13T10:46:00+08:00,valid,2021-01-13T10:51:00+08:00,recorded_zero_volume,False,2021-01-13T10:45:00+08:00,recorded_zero_volume,2021-01-13T10:50:00+08:00,recorded_zero_volume,False,False,event_exit:recorded_zero_volume;control_entry:recorded_zero_volume;control_exit:recorded_zero_volume,False,event_exit:recorded_zero_volume;control_entry:recorded_zero_volume;control_exit:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:352316:352315,000852.SH,2021-01-13,2021-01-13,LONG,15,2021-01-13T10:46:00+08:00,valid,2021-01-13T11:01:00+08:00,recorded_zero_volume,False,2021-01-13T10:45:00+08:00,recorded_zero_volume,2021-01-13T11:00:00+08:00,valid,False,False,event_exit:recorded_zero_volume;control_entry:recorded_zero_volume,False,event_exit:recorded_zero_volume;control_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:352316:352315,000852.SH,2021-01-13,2021-01-13,LONG,30,2021-01-13T10:46:00+08:00,valid,2021-01-13T11:16:00+08:00,valid,False,2021-01-13T10:45:00+08:00,recorded_zero_volume,2021-01-13T11:15:00+08:00,valid,False,False,control_entry:recorded_zero_volume,False,control_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:352316:352315,000852.SH,2021-01-13,2021-01-13,LONG,60,2021-01-13T10:46:00+08:00,valid,2021-01-13T13:16:00+08:00,valid,False,2021-01-13T10:45:00+08:00,recorded_zero_volume,2021-01-13T13:15:00+08:00,recorded_zero_volume,False,False,control_entry:recorded_zero_volume;control_exit:recorded_zero_volume,False,control_entry:recorded_zero_volume;control_exit:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:352316:352315,000852.SH,2021-01-13,2021-01-13,LONG,120,2021-01-13T10:46:00+08:00,valid,2021-01-13T14:16:00+08:00,valid,False,2021-01-13T10:45:00+08:00,recorded_zero_volume,2021-01-13T14:15:00+08:00,valid,False,False,control_entry:recorded_zero_volume,False,control_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:352316:352315,000852.SH,2021-01-13,2021-01-13,LONG,240,2021-01-13T10:46:00+08:00,valid,2021-01-14T10:46:00+08:00,valid,False,2021-01-13T10:45:00+08:00,recorded_zero_volume,2021-01-14T10:45:00+08:00,valid,False,False,control_entry:recorded_zero_volume,False,control_entry:recorded_zero_volume,False,False,False,False,False,512100.SH
000852.SH:R1_A:352524:353711,000852.SH,2021-01-14,2021-01-21,LONG,1,2021-01-14T10:14:00+08:00,valid,2021-01-14T10:15:00+08:00,valid,False,2021-01-21T10:01:00+08:00,valid,2021-01-21T10:02:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352524:353711,000852.SH,2021-01-14,2021-01-21,LONG,5,2021-01-14T10:14:00+08:00,valid,2021-01-14T10:19:00+08:00,valid,False,2021-01-21T10:01:00+08:00,valid,2021-01-21T10:06:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352524:353711,000852.SH,2021-01-14,2021-01-21,LONG,15,2021-01-14T10:14:00+08:00,valid,2021-01-14T10:29:00+08:00,valid,False,2021-01-21T10:01:00+08:00,valid,2021-01-21T10:16:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352524:353711,000852.SH,2021-01-14,2021-01-21,LONG,30,2021-01-14T10:14:00+08:00,valid,2021-01-14T10:44:00+08:00,valid,False,2021-01-21T10:01:00+08:00,valid,2021-01-21T10:31:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352524:353711,000852.SH,2021-01-14,2021-01-21,LONG,60,2021-01-14T10:14:00+08:00,valid,2021-01-14T11:14:00+08:00,valid,False,2021-01-21T10:01:00+08:00,valid,2021-01-21T11:01:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352524:353711,000852.SH,2021-01-14,2021-01-21,LONG,120,2021-01-14T10:14:00+08:00,valid,2021-01-14T13:44:00+08:00,valid,False,2021-01-21T10:01:00+08:00,valid,2021-01-21T13:31:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352524:353711,000852.SH,2021-01-14,2021-01-21,LONG,240,2021-01-14T10:14:00+08:00,valid,2021-01-15T10:14:00+08:00,valid,False,2021-01-21T10:01:00+08:00,valid,2021-01-22T10:01:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352618:360298,000852.SH,2021-01-14,2021-03-08,SHORT,1,2021-01-14T13:18:00+08:00,valid,2021-01-14T13:19:00+08:00,valid,False,2021-03-08T13:18:00+08:00,valid,2021-03-08T13:19:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352618:360298,000852.SH,2021-01-14,2021-03-08,SHORT,5,2021-01-14T13:18:00+08:00,valid,2021-01-14T13:23:00+08:00,valid,False,2021-03-08T13:18:00+08:00,valid,2021-03-08T13:23:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352618:360298,000852.SH,2021-01-14,2021-03-08,SHORT,15,2021-01-14T13:18:00+08:00,valid,2021-01-14T13:33:00+08:00,valid,False,2021-03-08T13:18:00+08:00,valid,2021-03-08T13:33:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352618:360298,000852.SH,2021-01-14,2021-03-08,SHORT,30,2021-01-14T13:18:00+08:00,valid,2021-01-14T13:48:00+08:00,valid,False,2021-03-08T13:18:00+08:00,valid,2021-03-08T13:48:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352618:360298,000852.SH,2021-01-14,2021-03-08,SHORT,60,2021-01-14T13:18:00+08:00,valid,2021-01-14T14:18:00+08:00,valid,False,2021-03-08T13:18:00+08:00,valid,2021-03-08T14:18:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352618:360298,000852.SH,2021-01-14,2021-03-08,SHORT,120,2021-01-14T13:18:00+08:00,valid,2021-01-15T09:48:00+08:00,valid,False,2021-03-08T13:18:00+08:00,valid,2021-03-09T09:48:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:352618:360298,000852.SH,2021-01-14,2021-03-08,SHORT,240,2021-01-14T13:18:00+08:00,valid,2021-01-15T13:18:00+08:00,valid,False,2021-03-08T13:18:00+08:00,valid,2021-03-09T13:18:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:353342:353340,000852.SH,2021-01-19,2021-01-19,LONG,1,2021-01-19T13:22:00+08:00,valid,2021-01-19T13:23:00+08:00,valid,False,2021-01-19T13:20:00+08:00,valid,2021-01-19T13:21:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:353342:353340,000852.SH,2021-01-19,2021-01-19,LONG,5,2021-01-19T13:22:00+08:00,valid,2021-01-19T13:27:00+08:00,valid,False,2021-01-19T13:20:00+08:00,valid,2021-01-19T13:25:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:353342:353340,000852.SH,2021-01-19,2021-01-19,LONG,15,2021-01-19T13:22:00+08:00,valid,2021-01-19T13:37:00+08:00,valid,False,2021-01-19T13:20:00+08:00,valid,2021-01-19T13:35:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
000852.SH:R1_A:353342:353340,000852.SH,2021-01-19,2021-01-19,LONG,30,2021-01-19T13:22:00+08:00,valid,2021-01-19T13:52:00+08:00,valid,False,2021-01-19T13:20:00+08:00,valid,2021-01-19T13:50:00+08:00,valid,False,True,four_exact_observed_endpoints,True,four_exact_observed_endpoints,False,False,False,False,False,512100.SH
