source,symbol,trading_day,from_state,to_state,change_start_time,event_time,bar_ordinal_day,judge_center_eligible_ordinal,judge_available_eligible_ordinal,judge_available_event_time,matched,match_id,event_role,eligible_ordinal
independent_judge_center_v3,000852.SH,2016-05-09,Range,DownTrend,2016-05-09 11:00:00+08:00,2016-05-09 11:05:00+08:00,18,6.0,14.0,2016-05-09 13:15:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-05-26,Range,UpTrend,2016-05-26 13:35:00+08:00,2016-05-26 13:40:00+08:00,31,19.0,27.0,2016-05-26 14:20:00+08:00,True,25,judge,
independent_judge_center_v3,000852.SH,2016-05-30,UpTrend,Range,2016-05-30 11:15:00+08:00,2016-05-30 11:20:00+08:00,21,9.0,17.0,2016-05-30 13:30:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-06-02,DownTrend,Range,2016-06-02 11:20:00+08:00,2016-06-02 11:25:00+08:00,22,10.0,18.0,2016-06-02 13:35:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-06-13,DownTrend,Shock,2016-06-13 13:35:00+08:00,2016-06-13 13:40:00+08:00,31,19.0,27.0,2016-06-13 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-06-15,Shock,UpTrend,2016-06-15 11:10:00+08:00,2016-06-15 11:15:00+08:00,20,8.0,16.0,2016-06-15 13:25:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-06-17,Range,DownTrend,2016-06-17 13:15:00+08:00,2016-06-17 13:20:00+08:00,27,15.0,23.0,2016-06-17 14:00:00+08:00,True,26,judge,
independent_judge_center_v3,000852.SH,2016-06-23,Range,UpTrend,2016-06-23 13:35:00+08:00,2016-06-23 13:40:00+08:00,31,19.0,27.0,2016-06-23 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-07-01,DownTrend,Range,2016-07-01 13:30:00+08:00,2016-07-01 13:35:00+08:00,30,18.0,26.0,2016-07-01 14:15:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-07-06,UpTrend,Range,2016-07-06 13:35:00+08:00,2016-07-06 13:40:00+08:00,31,19.0,27.0,2016-07-06 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-07-12,Shock,UpTrend,2016-07-12 13:15:00+08:00,2016-07-12 13:20:00+08:00,27,15.0,23.0,2016-07-12 14:00:00+08:00,True,27,judge,
independent_judge_center_v3,000852.SH,2016-07-20,UpTrend,Range,2016-07-20 13:20:00+08:00,2016-07-20 13:25:00+08:00,28,16.0,24.0,2016-07-20 14:05:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-07-22,DownTrend,Range,2016-07-22 13:20:00+08:00,2016-07-22 13:25:00+08:00,28,16.0,24.0,2016-07-22 14:05:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-07-26,Range,UpTrend,2016-07-26 13:35:00+08:00,2016-07-26 13:40:00+08:00,31,19.0,27.0,2016-07-26 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-07-27,DownTrend,Shock,2016-07-27 10:50:00+08:00,2016-07-27 10:55:00+08:00,16,4.0,12.0,2016-07-27 13:05:00+08:00,True,28,judge,
independent_judge_center_v3,000852.SH,2016-08-02,Range,DownTrend,2016-08-02 13:05:00+08:00,2016-08-02 13:10:00+08:00,25,13.0,21.0,2016-08-02 13:50:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-08-09,UpTrend,Range,2016-08-09 13:40:00+08:00,2016-08-09 13:45:00+08:00,32,20.0,28.0,2016-08-09 14:25:00+08:00,True,29,judge,
independent_judge_center_v3,000852.SH,2016-08-12,Range,DownTrend,2016-08-12 11:15:00+08:00,2016-08-12 11:20:00+08:00,21,9.0,17.0,2016-08-12 13:30:00+08:00,True,30,judge,
independent_judge_center_v3,000852.SH,2016-08-12,DownTrend,Range,2016-08-12 13:20:00+08:00,2016-08-12 13:25:00+08:00,28,16.0,24.0,2016-08-12 14:05:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-08-15,UpTrend,Range,2016-08-15 13:40:00+08:00,2016-08-15 13:45:00+08:00,32,20.0,28.0,2016-08-15 14:25:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-08-30,Range,UpTrend,2016-08-30 11:25:00+08:00,2016-08-30 11:30:00+08:00,23,11.0,19.0,2016-08-30 13:40:00+08:00,True,31,judge,
independent_judge_center_v3,000852.SH,2016-08-30,UpTrend,Range,2016-08-30 13:35:00+08:00,2016-08-30 13:40:00+08:00,31,19.0,27.0,2016-08-30 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-09-13,DownTrend,Range,2016-09-13 13:35:00+08:00,2016-09-13 13:40:00+08:00,31,19.0,27.0,2016-09-13 14:20:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-09-20,UpTrend,DownTrend,2016-09-20 13:45:00+08:00,2016-09-20 13:50:00+08:00,33,21.0,29.0,2016-09-20 14:30:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-10-11,UpTrend,Range,2016-10-11 13:30:00+08:00,2016-10-11 13:35:00+08:00,30,18.0,26.0,2016-10-11 14:15:00+08:00,False,,judge,
independent_judge_center_v3,000852.SH,2016-10-20,Range,UpTrend,2016-10-20 11:05:00+08:00,2016-10-20 11:10:00+08:00,19,7.0,15.0,2016-10-20 13:20:00+08:00,False,,judge,
