carrier,legacy_label,convention,scope,left_label,right_label,legacy_volume_raw,legacy_open,legacy_high,legacy_low,legacy_close,tick_rows,tick_volume_raw,tick_open_x10000,tick_high_x10000,tick_low_x10000,tick_close_x10000,left_exact_tick_rows,right_exact_tick_rows,volume_equal_without_unit_conversion,legacy_minus_tick_volume_raw,open_equal_declared_scale,high_equal_declared_scale,low_equal_declared_scale,close_equal_declared_scale,all_ohlc_equal_declared_scale,legacy_zero_nonflat
588000,2025-12-01T09:37:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:36:00,2025-12-01 09:37:00,404222.0,1.377,1.378,1.377,1.377,1812,40880200.0,13770,13790,13760,13760,0,2,False,-40475978.0,True,False,False,False,False,False
588000,2025-12-01T09:37:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:36:00,2025-12-01 09:37:00,404222.0,1.377,1.378,1.377,1.377,1814,40924400.0,13770,13790,13760,13770,0,2,False,-40520178.0,True,False,False,True,False,False
588000,2025-12-01T09:37:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:37:00,2025-12-01 09:38:00,404222.0,1.377,1.378,1.377,1.377,1103,28396600.0,13770,13820,13760,13810,2,0,False,-27992378.0,True,False,False,False,False,False
588000,2025-12-01T09:37:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:37:00,2025-12-01 09:38:00,404222.0,1.377,1.378,1.377,1.377,1101,28352400.0,13770,13820,13760,13810,2,0,False,-27948178.0,True,False,False,False,False,False
588000,2025-12-01T09:38:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:37:00,2025-12-01 09:38:00,299985.0,1.377,1.381,1.377,1.381,1103,28396600.0,13770,13820,13760,13810,2,0,False,-28096615.0,True,False,False,True,False,False
588000,2025-12-01T09:38:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:37:00,2025-12-01 09:38:00,299985.0,1.377,1.381,1.377,1.381,1101,28352400.0,13770,13820,13760,13810,2,0,False,-28052415.0,True,False,False,True,False,False
588000,2025-12-01T09:38:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:38:00,2025-12-01 09:39:00,299985.0,1.377,1.381,1.377,1.381,861,18896700.0,13810,13830,13800,13820,0,0,False,-18596715.0,False,False,False,False,False,False
588000,2025-12-01T09:38:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:38:00,2025-12-01 09:39:00,299985.0,1.377,1.381,1.377,1.381,861,18896700.0,13810,13830,13800,13820,0,0,False,-18596715.0,False,False,False,False,False,False
588000,2025-12-01T09:39:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:38:00,2025-12-01 09:39:00,186376.0,1.381,1.383,1.38,1.382,861,18896700.0,13810,13830,13800,13820,0,0,False,-18710324.0,True,True,True,True,True,False
588000,2025-12-01T09:39:00+08:00,"(t-60s,t]",continuous_am,2025-12-01 09:38:00,2025-12-01 09:39:00,186376.0,1.381,1.383,1.38,1.382,861,18896700.0,13810,13830,13800,13820,0,0,False,-18710324.0,True,True,True,True,True,False
588000,2025-12-01T09:39:00+08:00,"[t,t+60s)",continuous_am,2025-12-01 09:39:00,2025-12-01 09:40:00,186376.0,1.381,1.383,1.38,1.382,730,17745333.0,13820,13840,13800,13830,0,0,False,-17558957.0,False,False,True,False,False,False
588000,2025-12-01T09:39:00+08:00,"(t,t+60s]",continuous_am,2025-12-01 09:39:00,2025-12-01 09:40:00,186376.0,1.381,1.383,1.38,1.382,730,17745333.0,13820,13840,13800,13830,0,0,False,-17558957.0,False,False,True,False,False,False
588000,2025-12-01T09:40:00+08:00,"[t-60s,t)",continuous_am,2025-12-01 09:39:00,2025-12-01 09:40:00,184085.0,1.382,1.384,1.38,1.383,730,17745333.0,13820,13840,13800,13830,0,0,False,-17561248.0,True,True,True,True,True,False
