layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,budget_trading_days,effect_bp_ASSUMED,family_size,expected_eligible_pairs_CONDITIONAL,positive_detection_probability_CONDITIONAL,detectable_effect_80_bp_CONDITIONAL,detectable_effect_90_bp_CONDITIONAL
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,120,2,1,128.31683168316832,0.20074292830337231,4.998397028367049,5.783290684215549
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,243,2,1,259.84158415841586,0.3576444211264209,3.512515390990474,4.064082429545496
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,486,2,1,519.6831683168317,0.6163818508655904,2.4837234519914815,2.873740245232719
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,1215,2,1,1299.2079207920792,0.9459745049578571,1.5708446372537905,1.8175129157252459
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,60,4,1,64.15841584158416,0.3539641793819054,7.068800867642057,8.178808120763605
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,120,4,1,128.31683168316832,0.6110370467998526,4.998397028367049,5.783290684215549
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,243,4,1,259.84158415841586,0.8907336902349199,3.512515390990474,4.064082429545496
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,486,4,1,519.6831683168317,0.9946438701702377,2.4837234519914815,2.873740245232719
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,1215,4,1,1299.2079207920792,0.9999998854293878,1.5708446372537905,1.8175129157252459
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,60,6,1,64.15841584158416,0.6620345830518048,7.068800867642057,8.178808120763605
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,120,6,1,128.31683168316832,0.9196940301460731,4.998397028367049,5.783290684215549
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,243,6,1,259.84158415841586,0.9976406945289794,3.512515390990474,4.064082429545496
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,486,6,1,519.6831683168317,0.9999992373934128,2.4837234519914815,2.873740245232719
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,1215,6,1,1299.2079207920792,1.0,1.5708446372537905,1.8175129157252459
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,60,2,7,64.15841584158416,0.02888445461935265,8.911062674207859,10.021069927329409
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,120,2,7,128.31683168316832,0.05831044963414348,6.301072844510708,7.085966500359208
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,243,2,7,259.84158415841586,0.1367785043950494,4.427942642508852,4.979509681063875
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,486,2,7,519.6831683168317,0.3320884222129257,3.1310282692230897,3.521045062464328
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,1215,2,7,1299.2079207920792,0.8097213347704034,1.980236149823969,2.2269044282954242
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,60,4,7,64.15841584158416,0.13462630355647126,8.911062674207859,10.021069927329409
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,120,4,7,128.31683168316832,0.32703236484113274,6.301072844510708,7.085966500359208
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,243,4,7,259.84158415841586,0.6915658987202455,4.427942642508852,4.979509681063875
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,486,4,7,519.6831683168317,0.9657574951012194,3.1310282692230897,3.521045062464328
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,1215,4,7,1299.2079207920792,0.9999955818233008,1.980236149823969,2.2269044282954242
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,60,6,7,64.15841584158416,0.3774734207165501,8.911062674207859,10.021069927329409
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,120,6,7,128.31683168316832,0.7494852824717588,6.301072844510708,7.085966500359208
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,243,6,7,259.84158415841586,0.9819365159137265,4.427942642508852,4.979509681063875
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,486,6,7,519.6831683168317,0.9999772639708788,3.1310282692230897,3.521045062464328
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,1215,6,7,1299.2079207920792,0.9999999999999994,1.980236149823969,2.2269044282954242
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,60,2,14,64.15841584158416,0.016958198675960816,9.475279874263336,10.585287127384886
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,120,2,14,128.31683168316832,0.03650782584283609,6.700034652732023,7.484928308580523
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,243,2,14,259.84158415841586,0.09366404061017569,4.7083044232641065,5.259871461819129
