layer,index_symbol,carrier,horizon,historical_pairs,historical_trading_days,spec,effect_bp_ASSUMED,target_positive_detection,family_size,required_trading_days_CONDITIONAL,expected_eligible_pairs_CONDITIONAL,equivalent_years_NOT_FORECAST,independent_equivalent_n_required_NOT_actual_count,critical_z,not_confirmatory_sample_size
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.8,1,188,202,0.7755775577557755,94.8304805871495,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.9,1,251,269,1.0354785478547854,126.9511079763723,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.8,1,84,90,0.3465346534653465,42.14688026095533,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.9,1,112,120,0.46204620462046203,56.42271465616547,1.959963984540054,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.8,7,1192,1275,4.917491749174918,602.803054441482,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.9,7,1507,1612,6.216996699669967,762.3328475886558,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.8,7,298,319,1.2293729372937294,150.7007636103705,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.9,7,377,404,1.5552805280528053,190.58321189716395,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.8,7,133,143,0.5486798679867987,66.97811716016467,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.9,7,168,180,0.693069306930693,84.70364973207288,2.690109527158867,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.8,14,1347,1441,5.556930693069307,681.5544241739476,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.9,14,1681,1798,6.934818481848184,850.5928611817311,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.8,14,337,361,1.3902640264026402,170.3886060434869,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.9,14,421,451,1.7367986798679869,212.64821529543278,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.8,14,150,161,0.6188118811881188,75.72826935266085,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.9,14,187,200,0.7714521452145214,94.51031790908124,2.9137263183343394,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.8,28,1502,1607,6.196369636963696,759.9142788926112,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,2,0.9,28,1854,1983,7.648514851485149,937.8826993599507,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.8,28,376,403,1.551155115511551,189.9785697231528,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,4,0.9,28,464,497,1.914191419141914,234.47067483998768,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.8,28,167,179,0.6889438943894389,84.4349198769568,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift0,6,0.9,28,206,221,0.8498349834983498,104.20918881777231,3.1237346303238454,True
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,1,1296,1212,L5_shift2,2,0.8,1,599,641,2.471122112211221,379.321922348598,1.959963984540054,True
