layer,index_symbol,carrier,horizon,effect_bp_ASSUMED,family_size,target_power,budget_trading_days,prior_required_days_CONDITIONAL,required_variance_ratio,required_variance_reduction,required_information_multiplier,balanced_independent_controls_limit_ratio,infinite_controls_sufficient_in_balanced_model,measured_R_squared,real_matching_changed
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,4,14,0.8,486,5026.438167907375,0.09668874534317276,0.9033112546568273,10.342465366064557,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,6,1,0.8,243,1243.3266080468984,0.19544341641792806,0.8045565835820719,5.116570403485179,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,6,1,0.8,486,1243.3266080468984,0.3908868328358561,0.6091131671641439,2.5582852017425894,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,6,14,0.8,243,2233.9725190699446,0.10877483851106934,0.8912251614889306,9.19330254761294,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,15,6,14,0.8,486,2233.9725190699446,0.21754967702213868,0.7824503229778613,4.59665127380647,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,2,1,0.8,243,27192.5335743568,0.008936276545748379,0.9910637234542516,111.90343034714732,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,2,1,0.8,486,27192.5335743568,0.017872553091496757,0.9821274469085033,55.95171517357366,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,2,14,0.8,243,48858.74100645685,0.004973521523362355,0.9950264784766376,201.06477780434915,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,2,14,0.8,486,48858.74100645685,0.00994704304672471,0.9900529569532753,100.53238890217457,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,4,1,0.8,243,6798.1333935892,0.035745106182993515,0.9642548938170065,27.97585758678683,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,4,1,0.8,486,6798.1333935892,0.07149021236598703,0.9285097876340129,13.987928793393415,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,4,14,0.8,243,12214.685251614212,0.01989408609344942,0.9801059139065506,50.26619445108729,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,4,14,0.8,486,12214.685251614212,0.03978817218689884,0.9602118278131011,25.133097225543644,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,6,1,0.8,243,3021.3926193729767,0.08042648891173544,0.9195735110882646,12.433714483016365,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,6,1,0.8,486,3021.3926193729767,0.16085297782347088,0.8391470221765291,6.216857241508182,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,6,14,0.8,243,5428.7490007174265,0.0447616937102612,0.9552383062897388,22.3405308671499,0.5,False,False,False
INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,30,6,14,0.8,486,5428.7490007174265,0.0895233874205224,0.9104766125794777,11.17026543357495,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,2,1,0.8,243,32137.09256239822,0.00756135607252538,0.9924386439274746,132.25140972180338,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,2,1,0.8,486,32137.09256239822,0.01512271214505076,0.9848772878549492,66.12570486090169,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,2,14,0.8,243,57742.97852434979,0.0042083038701844705,0.9957916961298156,237.62542602613084,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,2,14,0.8,486,57742.97852434979,0.008416607740368941,0.9915833922596311,118.81271301306542,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,4,1,0.8,243,8034.273140599555,0.03024542429010152,0.9697545757098984,33.062852430450846,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,4,1,0.8,486,8034.273140599555,0.06049084858020304,0.939509151419797,16.531426215225423,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,4,14,0.8,243,14435.744631087447,0.016833215480737882,0.9831667845192621,59.40635650653271,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,4,14,0.8,486,14435.744631087447,0.033666430961475764,0.9663335690385242,29.703178253266355,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,6,1,0.8,243,3570.7880624886916,0.0680522046527284,0.9319477953472716,14.694601080200378,0.5,False,False,False
ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,6,1,0.8,486,3570.7880624886916,0.1361044093054568,0.8638955906945431,7.347300540100189,0.5,False,False,False
