id,layer,index_symbol,carrier,horizon,n,DGP_ASSUMED,method,repetitions,seed,rho_ASSUMED,lambda_nuisance,marginal_SD_target_bp,oracle_mean_SE_under_DGP_bp,null_rejections,null_rejection_rate,null_MC95_lo,null_MC95_hi,severe_size_warning,valid_fraction,invalid_replicates,mean_reported_SE_bp,mean_family14_interval_width_bp,marginal_family14_rejections,reference_not_deployable,estimand,power_positive_family14_effect2bp_ASSUMED,power_effect2_MC95_lo,power_effect2_MC95_hi,power_positive_family14_effect4bp_ASSUMED,power_effect4_MC95_lo,power_effect4_MC95_hi,power_positive_family14_effect6bp_ASSUMED,power_effect6_MC95_lo,power_effect6_MC95_hi
ETF_OBSERVED_ENDPOINTS:512100.SH:30,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,IID_GAUSSIAN,FIVE_YEAR_GROUP_T,2000,2026091207,0.0,0.0,78.00040745793594,2.1982850496093547,92,0.046,0.03765702335931109,0.05608365557206656,False,1.0,0,2.1931339712265316,26.92308747825605,10,False,equal_year_mean,0.006,0.003435594376936234,0.010458448336941664,0.029,0.022500401616129873,0.03730545692281039,0.083,0.07169373071300192,0.09590508671956302
ETF_OBSERVED_ENDPOINTS:512100.SH:30,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,30,1259,IID_GAUSSIAN,ORACLE_MEAN_NORMAL_REFERENCE,2000,2026091207,0.0,0.0,78.00040745793594,2.1982850496093547,108,0.054,0.0449221548758202,0.0647878512990574,False,1.0,0,2.198285049609354,12.81040200849537,8,True,pair_weighted_mean,0.0275,0.021188498165677007,0.03562311151510701,0.1425,0.1278647408518039,0.15850594795429188,0.433,0.4114334498318653,0.4548234345038225
INDEX_ALL_FROZEN_PAIRS:512100.SH:60,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,IID_GAUSSIAN,GRAPH_T_BASELINE,2000,2026091207,0.0,0.0,117.12439442924791,3.2534554008124417,82,0.041,0.03315349074927443,0.05060635865491575,False,1.0,0,3.421168122207302,20.754625462785928,3,False,pair_weighted_mean,0.0065,0.0038025964940741515,0.011089529172522494,0.032,0.025139125203291417,0.04065523105196132,0.098,0.0857302075571977,0.11181109845692967
INDEX_ALL_FROZEN_PAIRS:512100.SH:60,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,IID_GAUSSIAN,EXPOSURE_SCORE_HAC6,2000,2026091207,0.0,0.0,117.12439442924791,3.2534554008124417,25,0.0125,0.008481081388571086,0.018388039710650523,False,1.0,0,4.514172624414358,27.38537211484177,1,False,pair_weighted_mean,0.0025,0.0010683087284139143,0.005839153316432755,0.0085,0.005313767739685552,0.013570689737786079,0.032,0.025139125203291417,0.04065523105196132
INDEX_ALL_FROZEN_PAIRS:512100.SH:60,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,IID_GAUSSIAN,FIVE_YEAR_GROUP_T,2000,2026091207,0.0,0.0,117.12439442924791,3.2534554008124417,98,0.049,0.04037353995030726,0.05935563669738288,False,1.0,0,3.212607649559264,39.43822763094876,10,False,equal_year_mean,0.0045,0.0023692806369618345,0.008530513218759823,0.0115,0.007675227286212753,0.01719772790757136,0.0275,0.021188498165677007,0.03562311151510701
INDEX_ALL_FROZEN_PAIRS:512100.SH:60,INDEX_ALL_FROZEN_PAIRS,000852.SH,512100.SH,60,1296,IID_GAUSSIAN,ORACLE_MEAN_NORMAL_REFERENCE,2000,2026091207,0.0,0.0,117.12439442924791,3.2534554008124417,102,0.051,0.04218996991731548,0.06153153854124964,False,1.0,0,3.2534554008124386,18.959357253748415,7,True,pair_weighted_mean,0.0105,0.006877887380873443,0.015998901907473176,0.05,0.04128123361873174,0.0604441089343959,0.1475,0.13263505890818003,0.16371645942510324
ETF_OBSERVED_ENDPOINTS:512100.SH:60,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,1261,IID_GAUSSIAN,GRAPH_T_BASELINE,2000,2026091207,0.0,0.0,117.45381455780924,3.307574101168206,75,0.0375,0.030021256563230403,0.04675201217192855,False,1.0,0,3.4776555928690196,21.097308504088115,3,False,pair_weighted_mean,0.0065,0.0038025964940741515,0.011089529172522494,0.032,0.025139125203291417,0.04065523105196132,0.0945,0.08244593448548859,0.10810879085960753
ETF_OBSERVED_ENDPOINTS:512100.SH:60,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,1261,IID_GAUSSIAN,EXPOSURE_SCORE_HAC6,2000,2026091207,0.0,0.0,117.45381455780924,3.307574101168206,25,0.0125,0.008481081388571086,0.018388039710650523,False,1.0,0,4.588539188942461,27.83651924897883,1,False,pair_weighted_mean,0.003,0.0013756299236301083,0.006529915073935308,0.009,0.005700499728577407,0.014182040701612969,0.032,0.025139125203291417,0.04065523105196132
ETF_OBSERVED_ENDPOINTS:512100.SH:60,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,1261,IID_GAUSSIAN,FIVE_YEAR_GROUP_T,2000,2026091207,0.0,0.0,117.45381455780924,3.307574101168206,96,0.048,0.03946691899074102,0.05826609175151162,False,1.0,0,3.286678580165376,40.347528280370064,6,False,equal_year_mean,0.006,0.003435594376936234,0.010458448336941664,0.014,0.009703783146220175,0.020159586811157672,0.029,0.022500401616129873,0.03730545692281039
ETF_OBSERVED_ENDPOINTS:512100.SH:60,ETF_OBSERVED_ENDPOINTS,000852.SH,512100.SH,60,1261,IID_GAUSSIAN,ORACLE_MEAN_NORMAL_REFERENCE,2000,2026091207,0.0,0.0,117.45381455780924,3.307574101168206,107,0.0535,0.04446618753651597,0.06424573568564287,False,1.0,0,3.3075741011682047,19.274731416829702,5,True,pair_weighted_mean,0.0115,0.007675227286212753,0.01719772790757136,0.0485,0.03992009344287708,0.05881100025209431,0.139,0.1245292957308537,0.1548548124062109
