symbol,cell,event_day,control_day,event_entry_idx,control_entry_idx,side,parent_direction,horizon,event_signed_return,control_signed_return,incremental_return,match_distance
000688.SH,R1_A,2025-03-13,2025-03-13,269742,269741,SHORT,-1,15,0.001027614812600608,0.00025245913902083306,0.0007751556735797749,0.09673422123774798
000688.SH,R1_A,2025-03-13,2025-03-13,269742,269741,SHORT,-1,30,-0.0003456522551472663,-0.0029547069603921283,0.002609054705244862,0.09673422123774798
000688.SH,R1_A,2025-03-13,2025-03-13,269742,269741,SHORT,-1,60,-0.009388662606031106,-0.010135766914762145,0.0007471043087310392,0.09673422123774798
000688.SH,R1_A,2025-03-13,2025-03-13,269742,269741,SHORT,-1,120,-0.013844774111580138,-0.014951191233122607,0.001106417121542469,0.09673422123774798
000688.SH,R1_A,2025-03-13,2025-03-13,269742,269741,SHORT,-1,240,-0.016217630133402938,-0.017008265699218317,0.0007906355658153785,0.09673422123774798
000688.SH,R1_A,2025-03-21,2025-03-21,270982,270979,SHORT,-1,1,-0.00071633913002489,0.0005173646385971953,-0.0012337037686220853,0.02269146993547953
000688.SH,R1_A,2025-03-21,2025-03-21,270982,270979,SHORT,-1,5,0.0011122107545125104,0.0024739436354741517,-0.0013617328809616414,0.02269146993547953
000688.SH,R1_A,2025-03-21,2025-03-21,270982,270979,SHORT,-1,15,-0.00015080823789981324,0.0012322685028407498,-0.001383076740740563,0.02269146993547953
000688.SH,R1_A,2025-03-21,2025-03-21,270982,270979,SHORT,-1,30,0.003770205947499883,0.004590435338826748,-0.0008202293913268655,0.02269146993547953
000688.SH,R1_A,2025-03-21,2025-03-21,270982,270979,SHORT,-1,60,0.00940666383901223,0.010159160176092086,-0.0007524963370798554,0.02269146993547953
000688.SH,R1_A,2025-03-21,2025-03-21,270982,270979,SHORT,-1,120,0.01607992836608696,0.020036121458403833,-0.003956193092316873,0.02269146993547953
000688.SH,R1_A,2025-03-21,2025-03-21,270982,270979,SHORT,-1,240,0.017324096328762084,0.019264777815404366,-0.0019406814866422817,0.02269146993547953
000688.SH,R1_A,2025-03-21,2025-03-13,271189,269741,SHORT,-1,1,0.0004132986034351971,-0.0008976324942964187,0.0013109310977316158,1.4418627160053619
000688.SH,R1_A,2025-03-21,2025-03-13,271189,269741,SHORT,-1,5,-0.00018262031314564275,-0.0021131764969892775,0.0019305561838436347,1.4418627160053619
000688.SH,R1_A,2025-03-21,2025-03-13,271189,269741,SHORT,-1,15,-0.005247931104083836,0.00025245913902083306,-0.005500390243104669,1.4418627160053619
000688.SH,R1_A,2025-03-21,2025-03-13,271189,269741,SHORT,-1,30,-0.0021049393988905596,-0.0029547069603921283,0.0008497675615015687,1.4418627160053619
000688.SH,R1_A,2025-03-21,2025-03-13,271189,269741,SHORT,-1,60,-0.005565113753231765,-0.010135766914762145,0.00457065316153038,1.4418627160053619
000688.SH,R1_A,2025-03-21,2025-03-13,271189,269741,SHORT,-1,120,-0.0008650435885850793,-0.014951191233122607,0.014086147644537528,1.4418627160053619
000688.SH,R1_A,2025-03-21,2025-03-13,271189,269741,SHORT,-1,240,-0.004930748454935907,-0.017008265699218317,0.01207751724428241,1.4418627160053619
000688.SH,R1_A,2025-03-25,2025-03-25,271455,271449,SHORT,-1,1,0.000977451534694751,0.001544931765513624,-0.0005674802308188731,0.12089531739652735
