symbol,cell,event_day,event_entry_idx,control_day,control_entry_idx,side,parent_direction,clock_bucket,calendar_year,severity,match_distance,event_parent_abs_drift,event_parent_efficiency,event_log1p_parent_age_bars,event_local_vol_30_over_240,control_parent_abs_drift,control_parent_efficiency,control_log1p_parent_age_bars,control_local_vol_30_over_240
000688.SH,R1_B,2022-12-27,141852,2022-12-27,141851,SHORT,-1,19,2022,3.264010295434054,0.23340448128072044,0.6878566385422854,0.06425789342835833,5.5254529391317835,1.4470093712549743,0.6878566385422854,0.06425789342835833,5.521460917862246,1.3709305084062167
000688.SH,R1_B,2023-01-04,143079,2023-01-04,143071,SHORT,-1,20,2023,1.8747848844840997,0.02053606980255145,0.6878566385422854,0.06425789342835833,7.298445101508147,1.4698077724504648,0.6878566385422854,0.06425789342835833,7.293017679772782,1.4762774257741482
000688.SH,R1_B,2023-01-13,144944,2023-01-13,144943,LONG,1,29,2023,2.2365928164647153,0.0013711128986742974,0.38352947354541445,0.07908883474494381,7.075808863978387,1.1948319405115624,0.38352947354541445,0.07908883474494381,7.074963197966044,1.195213893879836
000688.SH,R1_B,2023-01-17,145207,2023-12-26,199927,LONG,1,19,2023,0.5853503131408514,0.08328082406142803,0.013397162117155413,0.0014297969688304992,5.484796933490655,1.006204034123753,0.028684021995442795,0.0028736433892251464,5.455321115357702,1.0141677641777882
000688.SH,R1_B,2023-01-18,145441,2023-03-21,154803,LONG,1,19,2023,0.5962092113952369,0.23130933738762013,0.013397162117155413,0.0014297969688304992,6.163314804034641,0.6571291385883666,0.029124197020004516,0.0035402561383472727,6.1463292576688975,0.7259445128488953
000688.SH,R1_B,2023-02-01,146656,2023-02-01,146654,LONG,1,19,2023,2.4674897765307424,0.004652671218994207,0.38740875661736374,0.04698107359601694,5.8971538676367405,1.8174924351230233,0.38740875661736374,0.04698107359601694,5.891644211825771,1.817863857432464
000688.SH,R1_B,2023-02-08,147859,2023-02-08,147857,SHORT,-1,19,2023,0.7564674852919996,0.10891889604772655,0.061088789694879186,0.01266295967478171,6.0867747269123065,1.5577274059469708,0.061088789694879186,0.01266295967478171,6.082218910376446,1.5226028068097208
000688.SH,R1_B,2023-02-10,148335,2023-02-10,148334,SHORT,-1,19,2023,2.362988069968295,0.07937571649345192,0.2180994970847027,0.030699492413343694,5.365976015021851,1.3571926053497168,0.2180994970847027,0.030699492413343694,5.3612921657094255,1.331610074234807
000688.SH,R1_B,2023-02-16,149510,2023-02-16,149506,LONG,1,29,2023,2.162679495325135,0.012289200138728619,0.01309000607638754,0.0020989944352238147,6.99117688712121,1.5038812091740557,0.01309000607638754,0.0020989944352238147,6.9874902470009905,1.507725294102319
000688.SH,R1_B,2023-02-21,150102,2023-02-21,150101,SHORT,-1,22,2023,1.6248236910326121,0.09679868407939643,0.2877912483388173,0.03345338239309369,5.231108616854587,0.9722368944959929,0.2877912483388173,0.03345338239309369,5.225746673713202,0.9410346689103328
