symbol,cell,event_day,control_day,side,parent_direction,event_entry_idx,control_entry_idx,match_distance,event_seg_0_1_bp,control_seg_0_1_bp,incremental_seg_0_1_bp,event_seg_1_5_bp,control_seg_1_5_bp,incremental_seg_1_5_bp,event_seg_5_15_bp,control_seg_5_15_bp,incremental_seg_5_15_bp,event_seg_15_30_bp,control_seg_15_30_bp,incremental_seg_15_30_bp,event_seg_30_60_bp,control_seg_30_60_bp,incremental_seg_30_60_bp,event_seg_60_120_bp,control_seg_60_120_bp,incremental_seg_60_120_bp,event_seg_120_240_bp,control_seg_120_240_bp,incremental_seg_120_240_bp,event_same_session_bp,control_same_session_bp,incremental_same_session_bp,event_overnight_bp,control_overnight_bp,incremental_overnight_bp,event_next_session_bp,control_next_session_bp,incremental_next_session_bp,event_bars_to_MFE,event_bars_to_MAE,control_bars_to_MFE,control_bars_to_MAE
000688.SH,R1_A,2025-08-18,2025-07-29,LONG,1,295284,291912,0.9652422188030692,18.224126349224797,1.7855213064830733,16.438605042741724,7.2450326103193925,-10.52978050566071,17.774813115980102,-11.665312928059185,34.08758072258039,-45.75289365063958,41.561756003393796,-12.28818284852274,53.849938851916534,-35.373910502087305,2.815421017883291,-38.189331519970594,-66.49844959660781,31.478679531753208,-97.97712912836101,12.180107037096159,23.17086740823324,-10.99076037113708,-40.103684369779316,60.2493307532189,-100.35301512299822,-19.31060858945068,-56.86650794328362,37.55589935383294,25.087641932509676,67.13728382281721,-42.049641890307534,36,116,240,170
000688.SH,R1_A,2025-08-18,2025-12-02,LONG,1,295315,312089,1.1567092269944188,-1.0557153801151347,-6.714928896765784,5.659213516650649,15.29697523733538,-6.34182454401691,21.63879978135229,-37.14008352846944,-9.52028421195215,-27.619799316517287,-40.81926821329381,-14.221740474994897,-26.597527738298915,-38.94213727152442,-31.161766786324684,-7.7803704851997395,11.72520520198125,24.043304679310257,-12.318099477329007,-4.972650525141769,-46.698364620732114,41.72571409559035,-105.32696695154544,-43.00821819033442,-62.318748761211026,-19.31060858945068,1.5905897713153994,-20.90119836076608,28.729901061767215,-49.19797643645859,77.9278774982258,5,85,1,216
000688.SH,R1_A,2025-08-18,2025-11-13,LONG,1,295352,309042,0.8416162096529467,3.535442851036847,-10.680047605974677,14.215490457011523,-7.337438502436843,-18.08889892570302,10.751460423266177,-14.691048184511313,-24.09752386261206,9.406475678100747,-24.740306044454865,11.804252340566581,-36.544558385021446,-9.41561106699092,39.12775341077866,-48.54336447776958,5.863591706659978,-67.58239828734649,73.44598999400647,-35.50062673646636,-78.07051479500053,42.569888058534175,-56.55993305153425,24.470883288604174,-81.03081634013843,-19.31060858945068,-166.24354671594506,146.93293812649438,-6.41545433617739,-5.814714297950216,-0.6007400382271744,111,48,72,89
000688.SH,R1_A,2025-08-21,2025-08-21,LONG,1,295957,295956,0.1361160133940484,7.848786213010256,0.7765884473433762,7.07219776566688,-16.999102364698544,8.62470513849537,-25.623807503193916,42.05670056172994,4.481908678565022,37.57479188316492,19.159809795479408,16.445177133945524,2.7146326615338836,-43.18286280351623,13.325712425726838,-56.508575229243064,-14.925053994536258,-56.34691431331238,41.421860318776126,428.5814990663139,417.04963841585555,11.531860650458327,-85.00512602456439,-84.22853757722021,-0.7765884473441815,169.8070982727852,169.8070982727852,0.0,337.737804225565,318.77825523105855,18.959548994506463,240,181,233,182
000688.SH,R1_A,2025-08-22,2025-08-27,LONG,1,296176,296899,0.6696667293720852,9.76685913169091,-32.705348029279826,42.47220716097074,36.5409980323356,-17.948095211186473,54.48909324352208,50.767261767920395,43.84219202897884,6.925069738941552,65.44041646982232,101.22495165188803,-35.78453518206571,19.29247736602085,-72.69514418623999,91.98762155226083,257.31325035355036,172.2227369330896,85.09051342046075,243.22875925196152,-67.08189547395693,310.3106547259184,499.08302235444233,-154.85810325613295,653.9411256105752,353.6485420053083,136.03846797581903,217.61007402948925,-170.38154198644872,145.67903299360688,-316.0605749800556,228,1,105,220
000688.SH,R1_A,2025-08-22,2025-08-21,LONG,1,296194,295952,5.074082843620701,37.310530520909666,2.508596280537662,34.801934240372006,-5.3097052701834455,24.102329896326207,-29.412035166509654,28.754820911821483,-31.716565422931374,60.47138633475286,36.920069194199286,86.95819380993541,-50.03812461573612,-19.888515371526147,-17.606318773514133,-2.282196598012014,149.71419610286347,-41.77781174397986,191.49200784684334,554.1763782533636,358.8752804570821,195.3010977962815,381.3400237728498,-58.3941998477003,439.7342236205501,353.6485420053083,169.8070982727852,183.8414437325231,46.68920856329018,269.9308060783721,-223.2415975150819,210,8,237,186
000688.SH,R1_A,2025-08-22,2025-11-13,LONG,1,296205,308915,0.2901341203319275,14.348573203111481,5.271690782166994,9.076882420944488,30.370887176612225,24.948637521621094,5.4222496549911305,27.06562586991805,18.850418204475446,8.215207665442605,-51.7194100533864,-24.03691613808846,-27.682493915297936,38.44330220790511,35.38757361146038,3.0557285964447303,161.97834079926642,8.755625330588263,153.22271546867816,483.61315609623983,-75.75248287606644,559.3656389723062,350.91606015578475,107.05355716526826,243.86250299051648,353.6485420053083,-166.24354671594506,519.8920887212533,-0.46412686142523163,52.6145359868326,-53.07866284825783,199,71,80,216
000688.SH,R1_A,2025-08-22,2025-12-01,LONG,1,296228,311848,0.3018303345054357,-8.173611250822498,5.1237615557905425,-13.29737280661304,-37.90046161077016,-3.691857988279867,-34.208603622490294,43.35027802079003,31.374994231035714,11.975283789754315,9.73621536188088,49.607439421712414,-39.87122405983153,124.98267485792675,-20.053132538337838,145.0358073962646,67.93884873228575,-9.067032966500733,77.00588169878648,431.04491751480276,-55.4047191841895,486.44963669899226,293.97499078310364,74.71210655775306,219.26288422535058,353.6485420053083,-32.36927747618563,386.0178194814939,-16.644671162318385,-44.45337655033848,27.808705388020098,176,48,34,214
000688.SH,R1_A,2025-08-22,2025-04-17,LONG,1,296309,275430,4.279128840377522,-4.645382206965466,0.9828686010872986,-5.628250808052765,16.859770644738983,-9.833035856888575,26.692806501627558,17.72502293482321,14.844163612859376,2.8808593219638325,0.16246953696577227,-6.682061861167724,6.844531398133496,91.45628632627275,-7.375102971134707,98.83138929740745,359.469716320715,-103.23029556165429,462.70001188236927,-221.88935408223642,-3.2804648613449596,-218.60888922089146,166.05301612253845,-5.60419641152902,171.65721253406747,353.6485420053083,-43.26771089274915,396.91625289805745,-260.56302865353325,-65.70202159396412,-194.86100705956915,95,7,44,211
000688.SH,R1_A,2025-08-25,2025-08-21,LONG,1,296413,295945,4.346718639010413,-44.538647768331984,-1.4691711740483655,-43.06947659428362,-74.884420623257,-20.244673223410917,-54.63974739984609,110.17348843253795,54.41179734135776,55.76169109118019,35.3199536579386,35.080816352592066,0.23913730534653155,16.8010662128227,-15.031848869991,31.8329150828137,-191.66472378664687,7.561696930050744,-199.22642071669762,25.674157248016865,296.5386696484831,-270.86451240046625,4.582755714470025,-69.80755471040416,74.39031042487419,-171.8454519243063,169.8070982727852,-341.6525501970915,44.143569582916804,256.8477434426529,-212.70417385973613,37,148,240,193
