symbol,trading_day,timestamp,open,high,low,close
000852.SH,2016-05-17,2016-05-17T10:04:00Z,7950.24,7955.05,7950.24,7955.05
000852.SH,2016-05-17,2016-05-17T10:05:00Z,7955.29,7957.47,7955.29,7957.36
000852.SH,2016-05-17,2016-05-17T10:06:00Z,7957.46,7958.18,7952.47,7952.47
000852.SH,2016-05-17,2016-05-17T10:07:00Z,7952.4,7952.4,7942.23,7942.23
000852.SH,2016-05-17,2016-05-17T10:08:00Z,7940.46,7940.46,7930.1,7930.1
000852.SH,2016-05-17,2016-05-17T10:09:00Z,7929.1,7929.1,7926.85,7928.17
000852.SH,2016-05-17,2016-05-17T10:10:00Z,7928.18,7934.03,7928.18,7934.03
000852.SH,2016-05-17,2016-05-17T10:11:00Z,7934.5,7941.26,7934.5,7941.26
000852.SH,2016-05-17,2016-05-17T10:12:00Z,7941.36,7943.47,7941.36,7943.47
000852.SH,2016-05-17,2016-05-17T10:13:00Z,7943.44,7943.82,7943.11,7943.74
000852.SH,2016-05-17,2016-05-17T10:14:00Z,7944.02,7944.02,7943.12,7943.36
000852.SH,2016-05-17,2016-05-17T10:15:00Z,7943.8,7947.42,7943.8,7947.42
000852.SH,2016-05-17,2016-05-17T10:16:00Z,7947.45,7948.58,7945.11,7945.11
000852.SH,2016-05-17,2016-05-17T10:17:00Z,7944.48,7944.48,7940.01,7940.01
000852.SH,2016-05-17,2016-05-17T10:18:00Z,7939.63,7939.63,7937.92,7938.49
000852.SH,2016-05-17,2016-05-17T10:19:00Z,7939.53,7943.17,7939.53,7943.17
000852.SH,2016-05-17,2016-05-17T10:20:00Z,7943.18,7947.0,7943.18,7946.52
000852.SH,2016-05-17,2016-05-17T10:21:00Z,7946.58,7949.17,7946.58,7949.17
000852.SH,2016-05-17,2016-05-17T10:22:00Z,7948.84,7949.59,7948.84,7949.11
000852.SH,2016-05-17,2016-05-17T10:23:00Z,7948.66,7948.67,7947.31,7947.31
000852.SH,2016-05-17,2016-05-17T10:24:00Z,7947.1,7947.2,7945.19,7945.19
000852.SH,2016-05-17,2016-05-17T10:25:00Z,7945.15,7945.15,7936.66,7936.66
000852.SH,2016-05-17,2016-05-17T10:26:00Z,7936.6,7936.6,7927.64,7927.64
000852.SH,2016-05-17,2016-05-17T10:27:00Z,7927.58,7927.58,7923.96,7923.96
000852.SH,2016-05-17,2016-05-17T10:28:00Z,7923.95,7927.48,7923.81,7927.48
000852.SH,2016-05-17,2016-05-17T10:29:00Z,7927.73,7931.94,7927.73,7931.94
000852.SH,2016-05-17,2016-05-17T10:30:00Z,7932.49,7934.99,7932.49,7934.99
000852.SH,2016-05-17,2016-05-17T10:31:00Z,7935.19,7935.8,7935.19,7935.68
000852.SH,2016-05-17,2016-05-17T10:32:00Z,7935.71,7936.0,7935.55,7935.82
000852.SH,2016-05-17,2016-05-17T10:33:00Z,7936.08,7940.63,7936.08,7940.63
000852.SH,2016-05-17,2016-05-17T10:34:00Z,7940.91,7949.3,7940.91,7949.3
000852.SH,2016-05-17,2016-05-17T10:35:00Z,7949.2,7954.67,7949.2,7954.67
000852.SH,2016-05-17,2016-05-17T10:36:00Z,7954.71,7957.28,7954.71,7957.04
000852.SH,2016-05-17,2016-05-17T10:37:00Z,7957.2,7957.48,7955.86,7955.86
000852.SH,2016-05-17,2016-05-17T10:38:00Z,7955.96,7955.96,7954.38,7954.52
000852.SH,2016-05-17,2016-05-17T10:39:00Z,7954.45,7954.45,7952.68,7952.68
000852.SH,2016-05-17,2016-05-17T10:40:00Z,7952.63,7952.63,7950.9,7951.09
000852.SH,2016-05-17,2016-05-17T10:41:00Z,7951.01,7951.47,7950.31,7950.31
000852.SH,2016-05-17,2016-05-17T10:42:00Z,7950.57,7950.86,7950.38,7950.77
000852.SH,2016-05-17,2016-05-17T10:43:00Z,7950.48,7950.63,7949.73,7949.78
000852.SH,2016-05-17,2016-05-17T10:44:00Z,7950.2,7950.3,7942.32,7942.32
000852.SH,2016-05-17,2016-05-17T10:45:00Z,7940.02,7940.02,7930.44,7930.44
000852.SH,2016-05-17,2016-05-17T10:46:00Z,7929.81,7929.81,7927.8,7928.01
000852.SH,2016-05-17,2016-05-17T10:47:00Z,7927.58,7930.81,7927.58,7930.71
000852.SH,2016-05-17,2016-05-17T10:48:00Z,7931.27,7935.2,7931.27,7935.18
000852.SH,2016-05-17,2016-05-17T10:49:00Z,7936.26,7937.62,7935.74,7936.74
000852.SH,2016-05-17,2016-05-17T10:50:00Z,7936.66,7936.69,7936.0,7936.02
000852.SH,2016-05-17,2016-05-17T10:51:00Z,7936.24,7936.53,7935.7,7935.77
000852.SH,2016-05-17,2016-05-17T10:52:00Z,7935.44,7935.5,7932.14,7932.14
000852.SH,2016-05-17,2016-05-17T10:53:00Z,7932.22,7932.22,7926.28,7926.28
000852.SH,2016-05-17,2016-05-17T10:54:00Z,7925.82,7925.82,7917.69,7917.69
000852.SH,2016-05-17,2016-05-17T10:55:00Z,7917.93,7917.93,7912.94,7913.28
000852.SH,2016-05-17,2016-05-17T10:56:00Z,7913.36,7915.13,7913.15,7915.13
000852.SH,2016-05-17,2016-05-17T10:57:00Z,7915.43,7920.4,7915.43,7920.4
000852.SH,2016-05-17,2016-05-17T10:58:00Z,7921.4,7926.7,7921.4,7926.7
000852.SH,2016-05-17,2016-05-17T10:59:00Z,7926.55,7927.59,7926.55,7927.33
000852.SH,2016-05-17,2016-05-17T11:00:00Z,7927.14,7927.18,7924.83,7924.83
000852.SH,2016-05-17,2016-05-17T11:01:00Z,7924.39,7924.39,7915.2,7915.2
000852.SH,2016-05-17,2016-05-17T11:02:00Z,7913.63,7913.63,7904.77,7904.78
000852.SH,2016-05-17,2016-05-17T11:03:00Z,7904.08,7904.08,7901.18,7901.4
000852.SH,2016-05-17,2016-05-17T11:04:00Z,7901.64,7906.83,7901.64,7906.83
000852.SH,2016-05-17,2016-05-17T11:05:00Z,7906.84,7911.97,7906.84,7911.97
000852.SH,2016-05-17,2016-05-17T11:06:00Z,7911.92,7914.55,7911.92,7914.55
000852.SH,2016-05-17,2016-05-17T11:07:00Z,7914.51,7916.37,7914.51,7916.21
000852.SH,2016-05-17,2016-05-17T11:08:00Z,7916.81,7917.96,7916.36,7917.96
000852.SH,2016-05-17,2016-05-17T11:09:00Z,7917.68,7918.02,7917.32,7917.35
000852.SH,2016-05-17,2016-05-17T11:10:00Z,7917.26,7919.5,7917.09,7919.5
000852.SH,2016-05-17,2016-05-17T11:11:00Z,7919.71,7927.58,7919.71,7927.58
000852.SH,2016-05-17,2016-05-17T11:12:00Z,7927.7,7935.28,7927.7,7935.28
000852.SH,2016-05-17,2016-05-17T11:13:00Z,7935.38,7940.22,7935.38,7940.22
000852.SH,2016-05-17,2016-05-17T11:14:00Z,7940.15,7940.45,7939.24,7939.24
000852.SH,2016-05-17,2016-05-17T11:15:00Z,7938.78,7938.81,7937.83,7937.83
000852.SH,2016-05-17,2016-05-17T11:16:00Z,7937.66,7937.96,7937.34,7937.81
000852.SH,2016-05-17,2016-05-17T11:17:00Z,7937.63,7937.99,7936.54,7936.54
000852.SH,2016-05-17,2016-05-17T11:18:00Z,7936.23,7936.23,7932.84,7932.84
000852.SH,2016-05-17,2016-05-17T11:19:00Z,7932.45,7932.45,7930.31,7930.36
000852.SH,2016-05-17,2016-05-17T11:20:00Z,7930.18,7930.45,7929.55,7930.28
000852.SH,2016-05-17,2016-05-17T11:21:00Z,7930.29,7931.9,7930.29,7931.9
000852.SH,2016-05-17,2016-05-17T11:22:00Z,7931.8,7931.8,7928.85,7928.85
000852.SH,2016-05-17,2016-05-17T11:23:00Z,7928.97,7930.76,7927.93,7930.76
000852.SH,2016-05-17,2016-05-17T11:24:00Z,7931.0,7937.18,7931.0,7937.18
000852.SH,2016-05-17,2016-05-17T11:25:00Z,7937.85,7940.75,7937.76,7940.75
000852.SH,2016-05-17,2016-05-17T11:26:00Z,7939.92,7941.3,7939.92,7941.3
000852.SH,2016-05-17,2016-05-17T11:27:00Z,7941.24,7941.86,7941.24,7941.46
000852.SH,2016-05-17,2016-05-17T11:28:00Z,7941.38,7941.38,7941.02,7941.17
000852.SH,2016-05-17,2016-05-17T11:29:00Z,7941.1,7943.41,7941.1,7943.41
000852.SH,2016-05-17,2016-05-17T11:30:00Z,7943.31,7947.45,7943.31,7947.45
000852.SH,2016-05-17,2016-05-17T13:01:00Z,7947.5,7951.92,7947.5,7951.92
000852.SH,2016-05-17,2016-05-17T13:02:00Z,7951.88,7951.88,7948.43,7948.43
000852.SH,2016-05-17,2016-05-17T13:03:00Z,7948.05,7948.05,7945.43,7945.67
000852.SH,2016-05-17,2016-05-17T13:04:00Z,7945.78,7945.78,7944.45,7945.01
000852.SH,2016-05-17,2016-05-17T13:05:00Z,7945.08,7946.34,7945.08,7946.34
000852.SH,2016-05-17,2016-05-17T13:06:00Z,7946.24,7946.56,7946.17,7946.39
000852.SH,2016-05-17,2016-05-17T13:07:00Z,7946.24,7946.36,7946.09,7946.32
000852.SH,2016-05-17,2016-05-17T13:08:00Z,7946.46,7948.63,7946.46,7948.63
000852.SH,2016-05-17,2016-05-17T13:09:00Z,7948.59,7949.98,7948.55,7949.98
000852.SH,2016-05-17,2016-05-17T13:10:00Z,7950.16,7953.53,7950.16,7953.53
000852.SH,2016-05-17,2016-05-17T13:11:00Z,7953.28,7955.75,7953.28,7955.68
000852.SH,2016-05-17,2016-05-17T13:12:00Z,7956.01,7956.69,7956.01,7956.17
000852.SH,2016-05-17,2016-05-17T13:13:00Z,7956.33,7956.34,7955.07,7955.07
000852.SH,2016-05-17,2016-05-17T13:14:00Z,7955.14,7955.45,7954.85,7954.92
000852.SH,2016-05-17,2016-05-17T13:15:00Z,7954.96,7955.01,7954.17,7954.26
000852.SH,2016-05-17,2016-05-17T13:16:00Z,7954.31,7956.04,7954.31,7954.67
000852.SH,2016-05-17,2016-05-17T13:17:00Z,7954.88,7955.29,7954.56,7954.66
000852.SH,2016-05-17,2016-05-17T13:18:00Z,7954.38,7954.38,7952.8,7952.8
000852.SH,2016-05-17,2016-05-17T13:19:00Z,7952.78,7952.78,7951.1,7951.1
000852.SH,2016-05-17,2016-05-17T13:20:00Z,7951.05,7951.05,7950.26,7950.26
000852.SH,2016-05-17,2016-05-17T13:21:00Z,7950.16,7950.16,7948.52,7948.52
000852.SH,2016-05-17,2016-05-17T13:22:00Z,7948.55,7948.55,7947.29,7947.29
000852.SH,2016-05-17,2016-05-17T13:23:00Z,7947.1,7947.1,7946.59,7946.64
000852.SH,2016-05-17,2016-05-17T13:24:00Z,7947.19,7947.3,7946.6,7946.77
000852.SH,2016-05-17,2016-05-17T13:25:00Z,7946.7,7947.44,7946.7,7947.44
000852.SH,2016-05-17,2016-05-17T13:26:00Z,7947.2,7947.52,7945.66,7945.66
000852.SH,2016-05-17,2016-05-17T13:27:00Z,7945.66,7945.66,7937.86,7937.86
000852.SH,2016-05-17,2016-05-17T13:28:00Z,7937.87,7937.87,7933.08,7933.08
000852.SH,2016-05-17,2016-05-17T13:29:00Z,7932.75,7932.75,7930.56,7930.56
000852.SH,2016-05-17,2016-05-17T13:30:00Z,7930.43,7930.53,7929.79,7930.53
000852.SH,2016-05-17,2016-05-17T13:31:00Z,7930.61,7933.45,7930.61,7933.44
000852.SH,2016-05-17,2016-05-17T13:32:00Z,7933.82,7935.99,7933.82,7935.99
000852.SH,2016-05-17,2016-05-17T13:33:00Z,7936.07,7937.7,7936.07,7937.7
000852.SH,2016-05-17,2016-05-17T13:34:00Z,7937.8,7942.47,7937.8,7942.47
000852.SH,2016-05-17,2016-05-17T13:35:00Z,7943.26,7953.13,7943.26,7953.13
000852.SH,2016-05-17,2016-05-17T13:36:00Z,7954.59,7966.6,7954.59,7966.6
000852.SH,2016-05-17,2016-05-17T13:37:00Z,7966.82,7975.07,7966.82,7975.07
000852.SH,2016-05-17,2016-05-17T13:38:00Z,7975.32,7979.53,7975.32,7979.53
000852.SH,2016-05-17,2016-05-17T13:39:00Z,7979.5,7979.81,7978.4,7978.4
000852.SH,2016-05-17,2016-05-17T13:40:00Z,7978.45,7978.45,7974.94,7974.94
000852.SH,2016-05-17,2016-05-17T13:41:00Z,7974.55,7974.72,7973.75,7974.56
000852.SH,2016-05-17,2016-05-17T13:42:00Z,7974.77,7977.45,7974.77,7977.45
000852.SH,2016-05-17,2016-05-17T13:43:00Z,7977.47,7981.19,7977.47,7981.19
000852.SH,2016-05-17,2016-05-17T13:44:00Z,7981.47,7982.37,7981.47,7982.23
000852.SH,2016-05-17,2016-05-17T13:45:00Z,7982.1,7982.1,7980.05,7980.05
000852.SH,2016-05-17,2016-05-17T13:46:00Z,7979.97,7979.97,7975.69,7975.69
000852.SH,2016-05-17,2016-05-17T13:47:00Z,7975.51,7975.51,7972.6,7973.18
000852.SH,2016-05-17,2016-05-17T13:48:00Z,7973.39,7975.77,7973.39,7975.77
000852.SH,2016-05-17,2016-05-17T13:49:00Z,7975.43,7976.95,7975.43,7976.87
000852.SH,2016-05-17,2016-05-17T13:50:00Z,7976.93,7977.64,7976.93,7977.54
000852.SH,2016-05-17,2016-05-17T13:51:00Z,7978.11,7979.7,7978.11,7979.7
000852.SH,2016-05-17,2016-05-17T13:52:00Z,7980.71,7988.59,7980.71,7988.59
000852.SH,2016-05-17,2016-05-17T13:53:00Z,7990.14,8001.06,7990.14,8001.06
000852.SH,2016-05-17,2016-05-17T13:54:00Z,8002.1,8010.54,8002.1,8010.54
000852.SH,2016-05-17,2016-05-17T13:55:00Z,8011.01,8012.8,8010.9,8012.8
000852.SH,2016-05-17,2016-05-17T13:56:00Z,8012.4,8012.77,8009.45,8009.45
000852.SH,2016-05-17,2016-05-17T13:57:00Z,8009.23,8009.23,8006.15,8006.15
000852.SH,2016-05-17,2016-05-17T13:58:00Z,8005.79,8005.79,7999.41,7999.41
000852.SH,2016-05-17,2016-05-17T13:59:00Z,7998.85,7998.85,7996.09,7996.09
000852.SH,2016-05-17,2016-05-17T14:00:00Z,7996.03,7996.03,7994.43,7994.45
000852.SH,2016-05-17,2016-05-17T14:01:00Z,7994.45,8000.04,7994.36,8000.04
000852.SH,2016-05-17,2016-05-17T14:02:00Z,8000.6,8012.06,8000.6,8012.06
000852.SH,2016-05-17,2016-05-17T14:03:00Z,8013.46,8023.46,8013.46,8023.46
000852.SH,2016-05-17,2016-05-17T14:04:00Z,8023.82,8030.49,8023.82,8030.49
000852.SH,2016-05-17,2016-05-17T14:05:00Z,8030.76,8035.68,8030.76,8035.68
000852.SH,2016-05-17,2016-05-17T14:06:00Z,8036.01,8039.47,8036.01,8039.47
000852.SH,2016-05-17,2016-05-17T14:07:00Z,8039.71,8040.2,8037.68,8037.68
000852.SH,2016-05-17,2016-05-17T14:08:00Z,8036.89,8036.89,8031.87,8031.87
000852.SH,2016-05-17,2016-05-17T14:09:00Z,8030.8,8030.8,8025.04,8025.11
000852.SH,2016-05-17,2016-05-17T14:10:00Z,8025.08,8025.08,8023.33,8023.33
000852.SH,2016-05-17,2016-05-17T14:11:00Z,8023.27,8024.2,8022.49,8024.2
000852.SH,2016-05-17,2016-05-17T14:12:00Z,8024.25,8026.11,8024.25,8026.11
000852.SH,2016-05-17,2016-05-17T14:13:00Z,8026.15,8026.41,8025.7,8025.85
000852.SH,2016-05-17,2016-05-17T14:14:00Z,8025.73,8025.73,8024.81,8024.81
000852.SH,2016-05-17,2016-05-17T14:15:00Z,8024.73,8024.73,8020.55,8020.55
