carrier,index_symbol,period,index_records,missing_records,invalid_ohlcv_records,zero_volume_records,positive_volume_records,session_or_clock_boundary_comparisons,invalid_index_endpoint_comparisons,declared_action_day_comparisons,etf_endpoint_unavailable_comparisons,eligible_comparisons,record_coverage,positive_volume_coverage,invalid_index_records,declared_action_records,off_grid_ohlc_records,zero_nonflat_records,positive_flat_bar_fraction,positive_close_repeat_fraction,gap_at_most_one_reference_tick_fraction,gap_abs_bp_p50,gap_abs_bp_p90,gap_abs_bp_p95,gap_abs_bp_p99,tick_bp_p50,tick_bp_p90,tick_bp_p95,tick_bp_p99,gap_reference_ticks_p50,gap_reference_ticks_p90,gap_reference_ticks_p95,gap_reference_ticks_p99,etf_minute_range_bp_p50,etf_minute_range_bp_p90,etf_minute_range_bp_p95,etf_minute_range_bp_p99
512100.SH,000852.SH,2023-12,5040,0,0,8,5032,42,0,0,16,4982,1,0.998412698412698,0,0,0,6,0.0788950715421304,0.301284624648735,0.729425933360096,2.56394625735153,6.28039494254935,7.65906515706348,10.8162202641509,4.16666666666667,4.3535045711798,4.38020148926851,4.3956043956044,0.609504713035816,1.49964777100147,1.8358043896075,2.52797575102419,4.387889425186,12.7059423506654,13.1778355110675,20.9190524648289
512100.SH,000852.SH,2024-01,5280,0,0,6,5274,44,0,0,12,5224,1,0.998863636363636,0,0,0,6,0.0481607887751232,0.244448698315467,0.624425727411945,3.43228378529343,9.61325311196974,12.3208906193388,18.5159583660208,4.52693526482571,4.92125984251969,4.99463093072679,5.13813910350918,0.750407436277093,2.03929042598384,2.59495060880223,3.85677140284098,9.00495272399721,19.6947316592812,24.9625561657516,38.7628097844033
512100.SH,000852.SH,2024-02,3600,0,0,0,3600,30,0,0,0,3570,1,1,0,0,0,0,0.00638888888888889,0.147619047619048,0.480672268907563,5.23226805045981,14.6946377393586,19.377605256479,34.1703736371899,4.93827160493827,5.56173526140156,5.69476082004556,5.86616964740545,1.05069771303458,2.88275054875272,3.73694170136488,6.22703563982773,14.7456386394434,33.879164313947,41.6688390684741,68.1849315068493
512100.SH,000852.SH,2024-03,5040,0,0,0,5040,42,0,0,0,4998,1,1,0,0,0,0,0.0142857142857143,0.228691476590636,0.634253701480592,3.36989893792985,8.52353291053187,10.3493828370211,14.1651412353289,4.5662100456621,4.65766185374942,4.67071461933676,4.69483568075117,0.739200743545392,1.86823253874522,2.26685523367795,3.10988821914137,9.1954022988516,18.3250884297675,22.3613595706634,31.5979136761413
512100.SH,000852.SH,2024-04,4800,0,0,1,4799,40,0,0,2,4758,1,0.999791666666667,0,0,0,1,0.0318816420087518,0.246952501050862,0.645018915510719,3.31833868137374,8.51771646870543,10.4928761897818,15.2438942314021,4.64037122969838,4.76871721506915,4.79616306954436,4.86246545439413,0.71597449440968,1.82201902319807,2.25254512217151,3.24057838214542,9.2208390963588,18.5873605947956,22.7686703096534,33.1599542904358
512100.SH,000852.SH,2024-05,4800,0,0,4,4796,40,0,0,8,4752,1,0.999166666666667,0,0,0,2,0.0763135946622185,0.312289562289562,0.726851851851852,2.77899971666825,6.97495631485032,8.47718789185645,11.7192623998433,4.5024763619991,4.64037122969838,4.65332712889716,4.68384074941452,0.613952748164029,1.54126517273395,1.87447153257532,2.587962543697,4.65983224603863,13.5440180586903,13.9990667288837,22.6963231956419
512100.SH,000852.SH,2024-06,4560,0,0,2,4558,38,0,0,4,4518,1,0.999561403508772,0,0,0,2,0.0454146555506801,0.266710934041611,0.702965914121293,3.08995519437293,7.7286586247271,9.17263775414846,12.3751207243351,4.79386385426654,5.04795557799091,5.07910726009241,5.09943906170321,0.641584120993989,1.58941699896487,1.88583869882559,2.49093744616266,9.48316737790528,15.0474001029684,19.3050193050193,25.5214087677978
512100.SH,000852.SH,2024-07,5520,0,0,2,5518,46,0,0,4,5470,1,0.99963768115942,0,0,0,1,0.0438564697354114,0.287934186471664,0.69890310786106,3.37381423751964,8.42011640258383,10.3855971525121,14.5763096168765,5.13083632632119,5.27148128624143,5.29941706412295,5.33049040511727,0.657599465207402,1.63736166857781,2.01023568693463,2.82866398558677,10.1317122593718,15.7505128035469,20.6643619612502,31.0719834282755
512100.SH,000852.SH,2024-08,5280,0,0,1,5279,44,0,0,2,5234,1,0.999810606060606,0,0,0,1,0.0486834627770411,0.324608330149026,0.72907909820405,3.22026055016472,7.98105082080232,9.50663993904313,13.4423721842749,5.27148128624143,5.48546352166758,5.50357732526142,5.51571980143409,0.605606572218305,1.49840066828911,1.80835220640742,2.51482101333438,10.126582278481,15.9846554577743,20.8333333333334,31.3860591745108
512100.SH,000852.SH,2024-09,4560,0,0,31,4529,38,0,0,37,4485,1,0.993201754385965,0,0,0,4,0.0216383307573416,0.265997770345596,0.653065774804905,3.85934416506746,10.3804906869578,14.1607344393105,39.0817094225109,5.44365813826892,5.54631170271769,5.58971492453885,5.64015792442188,0.715685928736094,1.96078176487905,2.77886235346696,8.24014305117152,10.8108108108108,22.0653144021167,32.0308896140502,75.6658732046507
