carrier,horizon,spec,n,mean_increment_bp,iid_se_bp,graph_meat_bp2,graph_variance_bp2,occupied_blocks,edge_density,maximum_degree,mean_degree,largest_block_pair_fraction,incidence_effective_blocks,maximum_blocks_per_pair,graph_se_bp,used_se_bp,df_heuristic,point_lo_bp,point_hi_bp,family14_lo_bp,family14_hi_bp,family56_lo_bp,family56_hi_bp,p_two_sided_approx,p_bonferroni14_approx,p_bonferroni56_approx,inference_status,iid_floor_applied
512100.SH,120,L20_shift0,1265,7.026176853075836,4.330558641138559,67128524.38024794,42.682326712312204,61,0.0533121528993846,213,67.38656126482213,0.06877470355731226,50.73663799259528,4,6.533171259986394,6.533171259986394,60,-6.042111389121108,20.09446509527278,-12.790668993390685,26.843022699542356,-15.818764608018853,29.871118314170523,0.2864736794708269,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,120,L20_shift10,1265,7.026176853075836,4.330558641138559,68369296.757101,43.45956427969432,62,0.05318957322259469,179,67.23162055335969,0.06324110671936758,50.766569937438625,3,6.592386842388295,6.592386842388295,61,-6.156115358374113,20.208469064525787,-12.956893860865094,27.009247567016764,-16.006107415451808,30.05846112160348,0.2907137284395871,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,120,L5_shift0,1265,7.026176853075836,4.330558641138559,56541234.76236014,35.50798374880174,242,0.01709611247310752,77,21.609486166007905,0.02766798418972332,178.58640466647114,4,5.958857587558352,5.958857587558352,241,-4.711915785751388,18.76426949190306,-10.508788269676838,24.56114197582851,-13.020834926760898,27.07318863291257,0.23951523768303612,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,120,L5_shift2,1265,7.026176853075836,4.330558641138559,78661678.8885775,49.39965721244679,242,0.01713113523790464,69,21.653754940711462,0.028458498023715414,176.32581396111348,4,7.028488970785029,7.028488970785029,241,-6.818935811188214,20.871289517339886,-13.656362905164436,27.708716611316106,-16.619328870365027,30.671682576516698,0.318472389103692,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,240,L20_shift0,1261,4.1313616818752426,6.614664123045269,88579908.10743219,56.67978293192775,61,0.055934443563309545,214,70.47739888977003,0.0689928628072958,51.17499895410618,4,7.528597673665909,7.528597673665909,60,-10.928075847580304,19.19079921133079,-18.704877198446795,26.967600562197276,-22.19434849694985,30.45707186070033,0.5852093854619261,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,240,L20_shift10,1261,4.1313616818752426,6.614664123045269,98576008.55722545,63.059054100114444,62,0.05617360875092834,203,70.77874702616971,0.0689928628072958,50.4970684851761,4,7.940973120475503,7.940973120475503,61,-11.74759545763843,20.010318821388914,-19.9395903416983,28.202313705448788,-23.612573049550214,31.875296413300696,0.6047663286627665,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
512100.SH,240,L5_shift0,1261,4.1313616818752426,6.614664123045269,65117724.50037753,41.153283490412896,243,0.020690306257316566,98,26.069785884218874,0.034892942109436956,179.40092347246636,4,6.415082500670813,6.614664123045269,242,-8.898303814922038,17.161027178672523,-15.332628772834829,23.595352136585312,-18.120779089662697,26.38350245341318,0.5328376527550817,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,True
512100.SH,240,L5_shift2,1261,4.1313616818752426,6.614664123045269,51110041.14220272,32.30066818934284,243,0.020215752174515062,85,25.471847739888975,0.03013481363996828,181.07976913234052,4,5.683367680288056,6.614664123045269,242,-8.898303814922038,17.161027178672523,-15.332628772834829,23.595352136585312,-18.120779089662697,26.38350245341318,0.5328376527550817,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,True
588000.SH,1,L20_shift0,1802,0.6304762827847618,0.47766892562921587,1054605.7308642168,0.3303697024421896,61,0.055689865230871244,176,100.29744728079912,0.058823529411764705,52.76617151807858,2,0.5747779592522574,0.5747779592522574,60,-0.5192508172493301,1.7802033828188537,-1.1129781226141136,2.3739306881836373,-1.3793851320945776,2.640337697664101,0.27706627549274726,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
588000.SH,1,L20_shift10,1802,0.6304762827847618,0.47766892562921587,753706.7628453134,0.2360455226861104,62,0.05475562041312602,182,98.61487236403995,0.05660377358490566,53.53500373931907,2,0.4858451632836437,0.4858451632836437,61,-0.34103116437292935,1.6019837299424529,-0.8422343584502968,2.10318692401982,-1.0669550389463738,2.3279076045158975,0.1992798867757512,1.0,1.0,APPROXIMATE_CONDITIONAL_GRAPH_SANDWICH,False
