symbol,stage,group,feature,original_events,matched_events,original_event_SD,matched_SMD,retention_shift_SMD,matched_event_control_variance_ratio,gate_required,balance_pass
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_SHORT,parent_abs_drift,96,43,0.19049052887,0.0461566158422,-0.541661739256,0.951930632381,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_SHORT,parent_efficiency,96,43,0.109925066242,-0.0158540965935,-0.591959628687,1.01369306637,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_SHORT,log1p_parent_age_bars,96,43,1.23597171199,-0.00506638494584,0.31565294177,0.992557550639,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2019_SHORT,local_vol_30_over_240,96,43,0.556868853508,-0.0141672243564,0.0804954269008,0.953573891399,True,True
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_LONG,parent_abs_drift,152,42,0.190504283839,-0.0555881952324,-0.679443398008,1.02234234223,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_LONG,parent_efficiency,152,42,0.0920963721731,-0.0321421775318,-0.711391922205,0.925589921023,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_LONG,log1p_parent_age_bars,152,42,1.3273351561,0.0334740481779,0.343077262115,0.904952557699,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_LONG,local_vol_30_over_240,152,42,0.555235507028,0.04510568855,-0.0447678152232,0.970864087041,True,True
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_SHORT,parent_abs_drift,123,22,0.167620788183,0.102605551665,-0.542056946102,0.759210428856,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_SHORT,parent_efficiency,123,22,0.121071063609,0.0237054004942,-0.604217542632,0.912437244192,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_SHORT,log1p_parent_age_bars,123,22,1.02660613291,-0.119902067798,0.305105424602,0.84955724898,True,False
000852.SH,PAST_CALIPER,YEAR_SIDE_2020_SHORT,local_vol_30_over_240,123,22,0.60249817721,0.00828668466492,-0.177440151148,1.00042346831,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,POOLED,parent_abs_drift,1752,241,0.198190766888,-0.0178153445471,-0.532186950481,0.95292676937,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,POOLED,parent_efficiency,1752,241,0.132238972564,-0.00623784311963,-0.656816543385,1.05324076172,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,POOLED,log1p_parent_age_bars,1752,241,1.34809192989,-0.0027732444604,0.681478550152,0.991174466687,True,False
000852.SH,PAST_CALIPER_EXCLUSIVE,POOLED,local_vol_30_over_240,1752,241,0.564590880443,-0.000242043068643,-0.321359661845,0.992281555583,True,False
