pair_id,symbol,event_day,control_day,calendar_year,parent_direction,side,clock_bucket,horizon,event_bp,control_bp,difference_bp
000852.SH:DEV_R1_A:34678:19066,000852.SH,2015-08-05,2015-05-05,2015,-1,SHORT,22,60,16.7519051505,70.8643202725,-54.112415122
000852.SH:DEV_R1_A:34688:19088,000852.SH,2015-08-05,2015-05-05,2015,-1,SHORT,26,60,-51.0250609044,-11.429227923,-39.5958329814
000852.SH:DEV_R1_A:34724:19110,000852.SH,2015-08-05,2015-05-05,2015,-1,SHORT,27,60,-140.496842068,128.732055164,-269.228897232
000852.SH:DEV_R1_A:34783:7889,000852.SH,2015-08-05,2015-02-25,2015,1,LONG,29,60,-56.4042807971,45.2785165242,-101.682797321
000852.SH:DEV_R1_A:34805:19447,000852.SH,2015-08-06,2015-05-07,2015,-1,SHORT,19,60,-234.205436738,6.91519835965,-241.120635098
000852.SH:DEV_R1_A:35160:5161,000852.SH,2015-08-07,2015-02-03,2015,1,LONG,26,60,45.6457795,45.4892700882,0.156509411777
000852.SH:DEV_R1_A:35216:5192,000852.SH,2015-08-07,2015-02-03,2015,1,LONG,27,60,38.0462735707,26.873131089,11.1731424817
000852.SH:DEV_R1_A:35286:35054,000852.SH,2015-08-10,2015-08-07,2015,1,LONG,19,60,62.5479023644,135.642209625,-73.0943072609
000852.SH:DEV_R1_A:35312:1235,000852.SH,2015-08-10,2015-01-12,2015,1,LONG,20,60,98.6077579764,43.8777744666,54.7299835098
000852.SH:DEV_R1_A:35356:1280,000852.SH,2015-08-10,2015-01-12,2015,1,LONG,21,60,153.052609737,-90.5863028789,243.638912616
000852.SH:DEV_R1_A:35450:1368,000852.SH,2015-08-10,2015-01-12,2015,1,LONG,27,60,83.9774197154,-5.11782555149,89.0952452669
000852.SH:DEV_R1_A:35524:35066,000852.SH,2015-08-11,2015-08-07,2015,1,LONG,19,60,51.5070283377,79.5941135844,-28.0870852467
000852.SH:DEV_R1_A:35539:42982,000852.SH,2015-08-11,2015-09-25,2015,1,LONG,19,60,50.8331174658,-169.097261184,219.93037865
000852.SH:DEV_R1_A:35566:35071,000852.SH,2015-08-11,2015-08-07,2015,1,LONG,20,60,-118.186877039,54.2857112593,-172.472588298
000852.SH:DEV_R1_A:35645:19080,000852.SH,2015-08-11,2015-05-05,2015,-1,SHORT,26,60,-167.856926678,38.5369188022,-206.39384548
000852.SH:DEV_R1_A:35666:19106,000852.SH,2015-08-11,2015-05-05,2015,-1,SHORT,26,60,-147.746891925,102.013489142,-249.760381067
000852.SH:DEV_R1_A:35735:5735,000852.SH,2015-08-11,2015-02-05,2015,1,LONG,29,60,-55.9776869973,-142.854792956,86.8771059582
000852.SH:DEV_R1_A:35787:19203,000852.SH,2015-08-12,2015-05-06,2015,-1,SHORT,19,60,50.8565021144,-32.3568149002,83.2133170145
000852.SH:DEV_R1_A:35967:19625,000852.SH,2015-08-12,2015-05-07,2015,-1,SHORT,28,60,-87.797380233,-71.9667994782,-15.8305807548
000852.SH:DEV_R1_A:36086:19048,000852.SH,2015-08-13,2015-05-05,2015,1,LONG,21,60,-5.16368381175,-90.2849296258,85.1212458141
000852.SH:DEV_R1_A:36149:56550,000852.SH,2015-08-13,2015-12-21,2015,-1,SHORT,27,60,-81.0774231173,-28.5954725711,-52.4819505461
000852.SH:DEV_R1_A:36246:19441,000852.SH,2015-08-14,2015-05-07,2015,1,LONG,19,60,-48.8970841927,-6.8663383058,-42.0307458869
000852.SH:DEV_R1_A:36287:2927,000852.SH,2015-08-14,2015-01-21,2015,1,LONG,20,60,-4.91008232284,48.416695951,-53.3267782738
000852.SH:DEV_R1_A:36304:42781,000852.SH,2015-08-14,2015-09-24,2015,1,LONG,21,60,80.3545409693,-26.6551911808,107.00973215
000852.SH:DEV_R1_A:36399:27752,000852.SH,2015-08-14,2015-06-25,2015,1,LONG,27,60,-4.68977475655,-167.335458636,162.64568388
000852.SH:DEV_R1_A:36464:19677,000852.SH,2015-08-14,2015-05-07,2015,-1,SHORT,29,60,22.2750823398,-278.180163711,300.455246051
000852.SH:DEV_R1_A:36533:27651,000852.SH,2015-08-17,2015-06-25,2015,-1,SHORT,20,60,-119.223677826,-48.658174997,-70.5655028293
000852.SH:DEV_R1_A:36581:27710,000852.SH,2015-08-17,2015-06-25,2015,-1,SHORT,22,60,-123.393698642,67.5024253157,-190.896123958
000852.SH:DEV_R1_A:36633:58232,000852.SH,2015-08-17,2015-12-30,2015,1,LONG,27,60,66.3248137781,122.025436868,-55.7006230904
000852.SH:DEV_R1_A:36685:19388,000852.SH,2015-08-17,2015-05-06,2015,1,LONG,28,60,73.3851831821,-233.076247097,306.461430279
000852.SH:DEV_R1_A:36728:13442,000852.SH,2015-08-18,2015-03-31,2015,1,LONG,19,60,-113.629069104,46.1920778522,-159.821146957
000852.SH:DEV_R1_A:36837:24358,000852.SH,2015-08-18,2015-06-04,2015,-1,SHORT,22,60,234.776971029,111.664677165,123.112293865
000852.SH:DEV_R1_A:36859:24360,000852.SH,2015-08-18,2015-06-04,2015,-1,SHORT,26,60,322.266883855,-36.4736053135,358.740489168
000852.SH:DEV_R1_A:36880:19110,000852.SH,2015-08-18,2015-05-05,2015,-1,SHORT,27,60,257.888592841,128.732055164,129.156537677
000852.SH:DEV_R1_A:36894:9520,000852.SH,2015-08-18,2015-03-06,2015,-1,SHORT,27,60,286.927988701,49.3097715124,237.618217189
