symbol,horizon,view,lag_trading_days,products,event_lag_product_bp2,control_lag_product_bp2,event_control_lag_product_bp2,control_event_lag_product_bp2,difference_lag_product_bp2,mean_variance_estimator
000688.SH,60,SIGNED,60,50,1078.25495295,-89.577326899,171.848274894,-1764.01432198,2580.84367314,False
000688.SH,60,UNSIGNED,0,110,8928.93711133,15486.530709,427.377396952,427.377396952,23560.7130264,False
000688.SH,60,UNSIGNED,1,109,-263.286379747,-5.1041779915,81.1774111615,1467.84783053,-1817.41579943,False
000688.SH,60,UNSIGNED,5,105,-1825.30160394,449.391276904,-760.933729805,-849.479969925,234.503372697,False
000688.SH,60,UNSIGNED,20,90,18.1922985946,1118.3589551,-289.773654366,792.106479248,634.218428818,False
000688.SH,60,UNSIGNED,60,50,934.588216552,102.811073097,129.858087449,-3787.98871268,4695.52991488,False
000688.SH,120,SIGNED,0,110,17603.9535043,23584.1550131,771.011718362,771.011718362,39646.0850807,False
000688.SH,120,SIGNED,1,109,1781.54024376,39.0560268741,1041.36082387,2553.47954351,-1774.24409675,False
000688.SH,120,SIGNED,5,105,855.26062613,3294.70480535,-81.3956318492,-2839.37978088,7070.74084421,False
000688.SH,120,SIGNED,20,90,-1028.8082027,2001.25302171,1225.01451771,1831.95564365,-2084.52534235,False
000688.SH,120,SIGNED,60,50,1462.4030936,264.154487062,441.22763606,-3297.01833097,4582.34827558,False
000688.SH,120,UNSIGNED,0,110,31994.7053422,26668.1672283,1783.53486477,1783.53486477,55095.802841,False
000688.SH,120,UNSIGNED,1,109,-1935.64443918,1776.43411237,-1447.15816179,3295.98317696,-2008.03534198,False
000688.SH,120,UNSIGNED,5,105,-4439.00987042,-27.4267535737,-1781.60553103,-825.861990713,-1858.96910225,False
000688.SH,120,UNSIGNED,20,90,-2098.36542523,1072.74753491,-1620.46853152,365.2325457,229.618095501,False
000688.SH,120,UNSIGNED,60,50,2151.70461021,14.267745993,87.3465603214,-7289.08440051,9367.71019639,False
000688.SH,240,SIGNED,0,110,47964.5218999,73641.7419249,7955.06156146,7955.06156146,105696.140702,False
000688.SH,240,SIGNED,1,109,4144.74334177,7828.21681841,7348.92654497,4267.5086495,356.524965707,False
000688.SH,240,SIGNED,5,105,8888.57178365,809.415640769,-7430.34172246,-2696.46128895,19824.7904358,False
000688.SH,240,SIGNED,20,90,-3909.65712289,11512.6189263,5456.80638666,2462.00831922,-315.852902432,False
000688.SH,240,SIGNED,60,50,2087.79213242,504.961877711,-1315.45788493,-7070.55880822,10978.7707033,False
000688.SH,240,UNSIGNED,0,110,100088.772909,99024.8463333,17211.3246356,17211.3246356,164690.969971,False
000688.SH,240,UNSIGNED,1,109,-5379.72628621,18820.6883419,6781.55668764,6049.78522173,609.620146278,False
000688.SH,240,UNSIGNED,5,105,-21384.7330726,-10711.6605944,-4518.83814222,-13876.1689989,-13701.3865258,False
000688.SH,240,UNSIGNED,20,90,-8397.09409445,10236.3147922,-15094.7313215,3053.68586827,13880.2661511,False
000688.SH,240,UNSIGNED,60,50,10353.1698021,-3198.86862713,1475.18581997,-14572.6673965,20251.7827515,False
