symbol,horizon,n,strata,singleton_strata,minimum_stratum_n,ex_post_not_causally_available,reconstruction_error_bp2,component,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum
000852.SH,30,1752,101,6,1,True,3.75166564481e-12,WITHIN,9224.767278,4192.42795695,601.415540816,-1202.83108163,12214.3641533,96.0456520515,64.7489610492,110.51861451,0.0967083854422,0.755239254553,0.343237511534,-0.0984767660874,0.0896484742578
000852.SH,30,1752,101,6,1,True,3.75166564481e-12,BETWEEN,745.18638837,552.993545176,164.151282294,-328.302564587,969.877368959,27.2981022851,23.5158147887,31.1428542198,0.255712402102,0.768330525302,0.57016852117,-0.338499046472,0.252894499525
000852.SH,60,1752,101,6,1,True,7.27595761418e-12,TOTAL,21587.7002941,9985.45650949,1321.9149305,-2643.829861,28929.3269426,146.927534159,99.9272560891,170.086233842,0.0900360337982,0.746222002916,0.345167259829,-0.0913892627453,0.0837366335412
000852.SH,60,1752,101,6,1,True,7.27595761418e-12,WITHIN,20152.3812975,8972.44370992,959.007783512,-1918.01556702,27206.8094404,141.959083181,94.7229840636,164.944867881,0.0713187257343,0.740710936417,0.329786692907,-0.0704976293241,0.0658550074218
000852.SH,60,1752,101,6,1,True,7.27595761418e-12,BETWEEN,1435.3189966,1013.01279957,362.90714699,-725.81429398,1722.51750218,37.8856040812,31.8278620012,41.5032227927,0.300963506636,0.833268164054,0.588100148929,-0.421368312983,0.296452586662
000852.SH,120,1752,101,6,1,True,2.13731254917e-11,TOTAL,39986.7944177,25511.3284737,2417.68514616,-4835.37029231,60662.752599,199.966983319,159.722661115,246.298097027,0.0756963449917,0.659165512683,0.420543535871,-0.0797090485536,0.0738245628861
000852.SH,120,1752,101,6,1,True,2.13731254917e-11,WITHIN,37532.988987,22814.1096544,2158.14590599,-4316.29181197,56030.8068295,193.734325784,151.043403214,236.708273682,0.0737517729101,0.669863439612,0.407170821649,-0.0770342612611,0.0715244296602
000852.SH,120,1752,101,6,1,True,2.13731254917e-11,BETWEEN,2453.80543066,2697.21881927,259.539240171,-519.078480341,4631.94576959,49.5359004224,51.9347554078,68.058399699,0.10088460005,0.529756942918,0.582307944316,-0.112064887234,0.100771896065
000852.SH,240,1752,101,6,1,True,1.81898940355e-11,TOTAL,92408.5246946,56110.3915319,2941.45007477,-5882.90014954,142636.016077,303.987704841,236.876321172,377.671836489,0.0408492242581,0.647862491089,0.393381651249,-0.0412441423375,0.0396104435651
000852.SH,240,1752,101,6,1,True,1.81898940355e-11,WITHIN,88768.3075307,51493.4820533,2988.18315924,-5976.36631849,134285.423266,297.940107288,226.921753151,366.449755445,0.044197948735,0.661042020586,0.383462931427,-0.0445049520131,0.04260865583
000852.SH,240,1752,101,6,1,True,1.81898940355e-11,BETWEEN,3640.21716397,4616.90947857,-46.7330844768,93.4661689536,8350.59281149,60.334212218,67.947843811,91.3815780751,-0.0113994820724,0.435923202836,0.55288403863,0.0111927585339,-0.0113194544543
000688.SH,1,156,17,1,1,True,2.13162820728e-14,TOTAL,132.249602368,245.384069028,-29.4035403207,58.8070806415,436.440752037,11.4999827116,15.6647396731,20.891164449,-0.163222210534,0.303018454969,0.562239130701,0.13474241433,-0.155725204334
000688.SH,1,156,17,1,1,True,2.13162820728e-14,WITHIN,121.660030436,240.369688945,-27.9285571045,55.8571142089,417.88683359,11.0299605818,15.503860453,20.4422805379,-0.163318238781,0.291131523315,0.575202829148,0.133665647537,-0.154288753709
