day,event_contribution_bp,control_contribution_bp,difference_contribution_bp,symbol,horizon,view
2015-12-22,-1.63709364808,17.5080906265,-19.1451842745,000852.SH,1,SIGNED
2015-12-23,2.92832998676,0,2.92832998676,000852.SH,1,SIGNED
2015-12-24,-6.12198252016,0,-6.12198252016,000852.SH,1,SIGNED
2015-12-25,0,22.1211252806,-22.1211252806,000852.SH,1,SIGNED
2015-12-28,-8.52300764208,2.86803348708,-11.3910411292,000852.SH,1,SIGNED
2015-12-29,0.0161912329308,0,0.0161912329308,000852.SH,1,SIGNED
2015-12-30,5.48036874376,54.4769463776,-48.9965776338,000852.SH,1,SIGNED
2015-12-31,-8.91473705306,0,-8.91473705306,000852.SH,1,SIGNED
2016-01-04,19.534229999,0,19.534229999,000852.SH,1,SIGNED
2016-01-05,-0.660760410239,0,-0.660760410239,000852.SH,1,SIGNED
2016-01-06,1.06610522056,0,1.06610522056,000852.SH,1,SIGNED
2016-01-07,-49.5648675057,0,-49.5648675057,000852.SH,1,SIGNED
2016-01-08,1.87189513496,0,1.87189513496,000852.SH,1,SIGNED
2016-01-11,-12.9351017085,0,-12.9351017085,000852.SH,1,SIGNED
2016-01-12,-51.6276768368,0,-51.6276768368,000852.SH,1,SIGNED
2016-01-13,-0.817385214346,0,-0.817385214346,000852.SH,1,SIGNED
2016-01-14,10.4776420886,0,10.4776420886,000852.SH,1,SIGNED
2016-01-15,-52.3806932615,0,-52.3806932615,000852.SH,1,SIGNED
2016-01-18,-72.3102411599,0,-72.3102411599,000852.SH,1,SIGNED
2016-01-19,18.8295656066,0,18.8295656066,000852.SH,1,SIGNED
2016-01-20,3.93379435291,0,3.93379435291,000852.SH,1,SIGNED
2016-01-21,31.6384412631,0,31.6384412631,000852.SH,1,SIGNED
2016-01-22,-38.8075411658,0,-38.8075411658,000852.SH,1,SIGNED
2016-01-25,-10.7081258649,0,-10.7081258649,000852.SH,1,SIGNED
2016-01-26,79.4436481022,0,79.4436481022,000852.SH,1,SIGNED
2016-01-27,-5.51818294758,0,-5.51818294758,000852.SH,1,SIGNED
2016-01-28,0,3.87262862329,-3.87262862329,000852.SH,1,SIGNED
2016-01-29,-10.8992071629,45.0868535762,-55.986060739,000852.SH,1,SIGNED
2016-02-01,8.471599158,0,8.471599158,000852.SH,1,SIGNED
2016-02-02,-1.78648504916,21.1910788674,-22.9775639166,000852.SH,1,SIGNED
2016-02-03,0,0,0,000852.SH,1,SIGNED
2016-02-04,9.16301951786,22.0388006336,-12.8757811157,000852.SH,1,SIGNED
2016-02-05,3.0850595342,0,3.0850595342,000852.SH,1,SIGNED
2016-02-15,-1.8293992399,0,-1.8293992399,000852.SH,1,SIGNED
2016-02-16,5.25692987076,6.68045237313,-1.42352250236,000852.SH,1,SIGNED
2016-02-17,9.78777189299,0,9.78777189299,000852.SH,1,SIGNED
