symbol,horizon,view,n,event_var_bp2,control_var_bp2,event_control_cov_bp2,covariance_term_bp2,difference_var_bp2,event_sd_bp,control_sd_bp,difference_sd_bp,event_control_correlation,event_share_of_difference,control_share_of_difference,covariance_share_of_difference,cancellation_relative_to_marginal_sum,top_1pct_centered_square_share,top_5pct_centered_square_share,variance_identity_error_bp2
000852.SH,30,YEAR_2016,326,13696.1734513,1972.97329607,571.268644014,-1142.53728803,14526.6094593,117.03065176,44.418164033,120.526384909,0.109895563373,0.942833459496,0.135817879705,-0.0786513392013,0.0729163691203,0.426098190423,0.671165949211,1.45519152284e-11
000852.SH,30,YEAR_2017,96,2672.80103056,582.728780342,413.448182512,-826.896365025,2428.63344588,51.6991395534,24.1397758967,49.2811672536,0.331287109858,1.10053702633,0.239941017584,-0.340478043909,0.253997479076,0.621690372672,0.832330684323,1.36424205266e-12
000852.SH,30,YEAR_2018,209,3013.8962902,2228.2958936,911.654417039,-1823.30883408,3418.88334972,54.8989643818,47.2048291343,58.471218131,0.351786896437,0.881544054565,0.651761310833,-0.533305365398,0.347814191115,0.170545440819,0.453429067405,3.18323145621e-12
000852.SH,30,YEAR_2019,201,2944.19018735,1924.15573941,655.007545066,-1310.01509013,3558.33083663,54.2603924364,43.8651996395,59.6517462999,0.275196725459,0.827407658962,0.540746723043,-0.368154382006,0.269088333048,0.228404610609,0.429534709379,9.09494701773e-13
000852.SH,30,YEAR_2020,275,4364.95680149,2454.79901068,324.786687625,-649.573375251,6170.18243692,66.0678197119,49.5459282957,78.5505088266,0.0992202404701,0.707427510631,0.397848691797,-0.105276202429,0.0952487732906,0.186295878272,0.452621226369,2.72848410532e-12
000852.SH,30,LONG,919,7401.03247492,2331.77683165,101.920930467,-203.841860935,9528.96744563,86.0292535997,48.2884751431,97.6164302033,0.0245343035042,0.776687769913,0.24470404007,-0.0213918099834,0.0209437845245,0.334311151066,0.601630167642,0
000852.SH,30,SHORT,833,12787.8825647,7407.68393907,1494.68848935,-2989.37697869,17206.189525,113.083520305,86.0679030712,131.172365706,0.153571330978,0.743214094326,0.430524371959,-0.173738466285,0.14802144709,0.256137800324,0.542838404209,7.27595761418e-12
000852.SH,60,POOLED_SIGNED,1752,21587.7002941,9985.45650949,1321.9149305,-2643.829861,28929.3269426,146.927534159,99.9272560891,170.086233842,0.0900360337982,0.746222002916,0.345167259829,-0.0913892627453,0.0837366335412,0.254522138524,0.576635526814,1.09139364213e-11
000852.SH,60,POOLED_UNSIGNED,1752,21613.9576002,10015.2441966,1364.29529351,-2728.59058702,28900.6112098,147.016861619,100.076191957,170.001797666,0.0927279079839,0.747871989395,0.34654091306,-0.0944129024543,0.0862680824052,0.253860176159,0.574471105379,3.63797880709e-12
000852.SH,60,YEAR_2015,645,41698.5871898,18299.9105269,1926.30637916,-3852.61275832,56145.8849584,204.202319257,135.277161882,236.951229071,0.0697332986278,0.742682873745,0.325935026947,-0.0686179006916,0.0642118203777,0.185928308119,0.470137162729,2.91038304567e-11
000852.SH,60,YEAR_2016,326,18677.7183644,5673.11885289,488.593000303,-977.186000605,23373.6512167,136.6664493,75.3201092199,152.884437457,0.047465098724,0.799092884173,0.242714276871,-0.0418071610441,0.0401294621571,0.299547882224,0.523700778508,1.09139364213e-11
000852.SH,60,YEAR_2017,96,2481.87106277,1754.22483805,754.108529653,-1508.21705931,2727.87884151,49.8183807722,41.8834673594,52.2290995663,0.361411208618,0.909817190192,0.643072856227,-0.552890046419,0.35603940388,0.326385269567,0.619864411009,1.36424205266e-12
000852.SH,60,YEAR_2018,209,6371.21713892,4085.91519076,1501.96100236,-3003.92200473,7453.21032495,79.8199044031,63.9211638721,86.3319774183,0.294376257241,0.854828572003,0.548208760067,-0.40303733207,0.287260590191,0.177120515015,0.380565836581,3.63797880709e-12
000852.SH,60,YEAR_2019,201,5595.74899472,4005.71647593,1809.55603694,-3619.11207389,5982.35339676,74.8047391194,63.2907297788,77.3456747127,0.38221068198,0.935375866921,0.669588740461,-0.604964607382,0.376933300958,0.203478482871,0.462159849245,9.09494701773e-13
000852.SH,60,YEAR_2020,275,7662.72843183,6612.14257276,425.459125452,-850.918250904,13423.9527537,87.5370117826,81.3150820743,115.861782973,0.0597716192334,0.570825044786,0.492563009874,-0.0633880546601,0.0596095229604,0.194840544764,0.530136386774,3.63797880709e-12
